Performance Profiler Log
Started: 20260412_223553
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,557868040.635,177.187,557867863.448,6.600,0.004,1.768,168.581,0.009,0.055,0.068,0.002,0.004,0.000,0.096
1,200.155,200.028,0.127,9.542,0.005,1.245,134.445,54.619,0.053,0.037,0.002,0.004,0.003,0.073
2,189.260,189.137,0.123,6.966,0.004,2.251,135.586,44.148,0.055,0.037,0.002,0.004,0.003,0.080
3,159.190,159.075,0.115,9.260,0.004,1.343,148.309,0.007,0.046,0.033,0.001,0.003,0.003,0.065
4,224.520,224.363,0.157,8.385,0.006,1.248,168.031,46.233,0.047,0.052,0.002,0.003,0.004,0.352
5,253.029,252.744,0.285,16.572,0.005,1.327,151.521,83.065,0.060,0.046,0.003,0.022,0.004,0.119
6,299.358,299.203,0.155,12.326,0.006,1.690,155.215,129.613,0.059,0.035,0.002,0.004,0.003,0.251
7,252.942,252.696,0.247,5.739,0.005,2.010,206.054,38.677,0.068,0.043,0.002,0.004,0.005,0.087
8,147.072,146.934,0.138,4.527,0.004,1.249,140.248,0.007,0.065,0.032,0.003,0.006,0.003,0.790
9,282.515,282.343,0.172,10.428,0.013,1.796,136.478,133.378,0.081,0.045,0.002,0.006,0.004,0.112
10,150.646,150.489,0.157,5.763,0.006,1.730,142.747,0.013,0.077,0.050,0.002,0.004,0.004,0.093
11,229.023,228.905,0.118,6.528,0.005,1.254,120.411,100.524,0.064,0.043,0.002,0.005,0.003,0.066
12,231.483,231.367,0.116,10.591,0.004,1.385,219.232,0.005,0.047,0.032,0.002,0.003,0.003,0.064
13,132.520,132.242,0.279,5.141,0.006,2.470,122.626,0.014,1.526,0.104,0.008,0.021,0.017,0.308
14,115.312,115.186,0.127,4.350,0.005,1.756,108.856,0.011,0.055,0.049,0.002,0.004,0.004,0.093
15,305.818,305.636,0.182,8.467,0.005,1.650,166.294,128.894,0.095,0.102,0.004,0.014,0.005,0.106
16,219.988,219.854,0.134,3.709,0.006,1.839,136.171,77.921,0.059,0.043,0.002,0.005,0.004,0.096
17,154.934,154.783,0.151,5.947,0.007,1.457,147.136,0.011,0.076,0.039,0.006,0.006,0.004,0.095
18,185.621,185.473,0.148,9.581,0.006,1.761,173.893,0.012,0.068,0.044,0.002,0.005,0.005,0.096
19,225.932,225.808,0.125,7.274,0.004,1.375,127.688,89.025,0.056,0.043,0.002,0.004,0.003,0.333
20,153.939,153.792,0.146,16.366,0.005,1.847,135.359,0.011,0.062,0.042,0.002,0.004,0.004,0.090
21,276.315,276.023,0.292,8.068,0.018,4.869,160.978,101.412,0.257,0.244,0.009,0.015,0.021,0.133
22,135.155,135.010,0.145,5.313,0.005,1.868,127.605,0.009,0.064,0.045,0.002,0.007,0.004,0.089
23,144.903,144.785,0.118,10.622,0.004,1.353,132.656,0.006,0.044,0.032,0.002,0.002,0.004,0.061
