=== NQL SDK RAM SNAPSHOT 004 ===
timestamp=2026-04-13 15:24:35.036
WorkingSet=11610.4 MB
PeakWorkingSet=11624.5 MB
PrivateBytes=12153.1 MB
PagefileUsage=12153.1 MB
PeakPagefile=12153.2 MB
VRAM_Local=1970.0 MB  (discrete GPU memory in use)
VRAM_Shared=0.0 MB  (system RAM used by GPU for non-local resources)
TextureArray_Est=3.44 MB  (block+font atlas, RGBA8 no mips, 881 layers)
ResidentChunks=400


[RAM: per-chunk breakdown — all values are CPU RAM unless noted]
SLOT   CX     CZ     SCX    SCZ    ROLE | BLK_KB   CMESH_KB   UPLOAD_KB SUB_KB   SIM_KB  CONS_KB  TOTAL_KB 
73     -5     -9     -1     -1     PRI  | 2160     2052       2052      0        512     0        6776     
74     -10    -1     -1     -1     PRI  | 1544     4039       4039      0        512     0        10134    
75     -3     -9     -1     -1     PRI  | 2168     1965       1965      0        512     0        6610     
76     -6     -9     -1     -1     PRI  | 2200     2028       2028      0        512     0        6768     
77     -11    -3     -1     -1     PRI  | 1544     3320       3320      0        512     0        8696     
78     -11    -2     -1     -1     PRI  | 1544     3840       3840      0        512     0        9736     
79     -2     -9     -1     -1     PRI  | 2152     1938       1938      0        512     0        6540     
80     -9     -7     -1     -1     PRI  | 2216     1931       1931      0        512     0        6590     
81     -10    -5     -1     -1     PRI  | 1888     2179       2179      0        512     0        6758     
82     -8     -8     -1     -1     PRI  | 2240     1911       1911      0        512     0        6574     
83     -11    -4     -1     -1     PRI  | 1592     3284       3284      0        512     0        8672     
84     -1     -9     -1     -1     PRI  | 2168     2040       2040      0        512     0        6760     
85     -7     -9     -1     -1     PRI  | 2232     1929       1929      0        512     0        6602     
86     -4     -10    -1     -1     PRI  | 2192     2026       2026      0        512     0        6756     
87     -9     -8     -1     -1     PRI  | 2264     1980       1980      0        512     0        6736     
88     -10    -6     -1     -1     PRI  | 2112     2144       2144      0        512     0        6912     
89     -5     -10    -1     -1     PRI  | 2192     1972       1972      0        512     0        6648     
90     -3     -10    -1     -1     PRI  | 2216     2021       2021      0        512     0        6770     
91     -8     -9     -1     -1     PRI  | 2240     1910       1910      0        512     0        6572     
92     -11    -1     -1     -1     PRI  | 1544     4797       4797      0        512     0        11650    
93     -11    -5     -1     -1     PRI  | 1808     2437       2437      0        512     0        7194     
94     -10    -7     -1     -1     PRI  | 2192     1954       1954      0        512     0        6612     
95     -12    -3     -1     -1     PRI  | 1544     3269       3269      0        512     0        8594     
96     -6     -10    -1     -1     PRI  | 2208     1985       1985      0        512     0        6690     
97     -12    -4     -1     -1     PRI  | 1544     3085       3085      0        512     0        8226     
98     -2     -10    -1     -1     PRI  | 2216     2055       2055      0        512     0        6838     
99     -7     -10    -1     -1     PRI  | 2200     1915       1915      0        512     0        6542     
100    -12    -2     -1     -1     PRI  | 1544     4008       4008      0        512     0        10072    
101    -1     -10    -1     -1     PRI  | 2192     2049       2049      0        512     0        6802     
102    -10    -8     -1     -1     PRI  | 2248     1959       1959      0        512     0        6678     
103    -9     -9     -1     -1     PRI  | 2248     1966       1966      0        512     0        6692     
104    -4     -11    -1     -1     PRI  | 2184     1910       1910      0        512     0        6516     
105    -11    -6     -1     -1     PRI  | 2096     2299       2299      0        512     0        7206     
106    -8     -10    -1     -1     PRI  | 2200     1945       1945      0        512     0        6602     
107    -5     -11    -1     -1     PRI  | 2208     1989       1989      0        512     0        6698     
108    -12    -5     -1     -1     PRI  | 1672     2970       2970      0        512     0        8124     
109    -12    -1     -1     -1     PRI  | 1544     4964       4964      0        512     0        11984    
110    -11    -7     -1     -1     PRI  | 2184     2151       2151      0        512     0        6998     
111    -3     -11    -1     -1     PRI  | 2232     1915       1915      0        512     0        6574     
112    -6     -11    -1     -1     PRI  | 2200     2015       2015      0        512     0        6742     
113    -2     -11    -1     -1     PRI  | 2232     1964       1964      0        512     0        6672     
114    -12    -6     -1     -1     PRI  | 1896     2381       2381      0        512     0        7170     
115    -10    -9     -1     -1     PRI  | 2240     1947       1947      0        512     0        6646     
116    -1     -11    -1     -1     PRI  | 2184     1981       1981      0        512     0        6658     
117    -9     -10    -1     -1     PRI  | 2208     1963       1963      0        512     0        6646     
118    -7     -11    -1     -1     PRI  | 2200     1888       1888      0        512     0        6488     
119    -13    -3     -1     -1     PRI  | 1544     3112       3112      0        512     0        8280     
120    -11    -8     -1     -1     PRI  | 2216     2069       2069      0        512     0        6866     
121    -8     -11    -1     -1     PRI  | 2232     2021       2021      0        512     0        6786     
122    -4     -12    -1     -1     PRI  | 2184     1913       1913      0        512     0        6522     
123    -13    -2     -1     -1     PRI  | 1544     4008       4008      0        512     0        10072    
124    -12    -7     -1     -1     PRI  | 2000     2269       2269      0        512     0        7050     
125    -13    -4     -1     -1     PRI  | 1544     2984       2984      0        512     0        8024     
126    -5     -12    -1     -1     PRI  | 2216     1983       1983      0        512     0        6694     
127    -3     -12    -1     -1     PRI  | 2184     1905       1905      0        512     0        6506     
128    -13    -5     -1     -1     PRI  | 1544     3083       3083      0        512     0        8222     
129    -13    -1     -1     -1     PRI  | 1544     4931       4931      0        512     0        11918    
130    -2     -12    -1     -1     PRI  | 2184     1881       1881      0        512     0        6458     
131    -11    -9     -1     -1     PRI  | 2232     1949       1949      0        512     0        6642     
132    -6     -12    -1     -1     PRI  | 2184     1996       1996      0        512     0        6688     
133    -13    -6     -1     -1     PRI  | 1648     2854       2854      0        512     0        7868     
134    -10    -10    -1     -1     PRI  | 2208     2027       2027      0        512     0        6774     
135    -12    -8     -1     -1     PRI  | 2112     2157       2157      0        512     0        6938     
136    -9     -11    -1     -1     PRI  | 2208     1966       1966      0        512     0        6652     
137    -7     -12    -1     -1     PRI  | 2200     1993       1993      0        512     0        6698     
138    -14    -3     -1     -1     PRI  | 1544     3235       3235      0        512     0        8526     
139    -1     -12    -1     -1     PRI  | 2176     1974       1974      0        512     0        6636     
140    -8     -12    -1     -1     PRI  | 2224     2023       2023      0        512     0        6782     
141    -13    -7     -1     -1     PRI  | 1824     2727       2727      0        512     0        7790     
142    -12    -9     -1     -1     PRI  | 2128     2008       2008      0        512     0        6656     
143    -11    -10    -1     -1     PRI  | 2200     1884       1884      0        512     0        6480     
144    -4     -13    -1     -1     PRI  | 2208     1911       1911      0        512     0        6542     
145    -14    -4     -1     -1     PRI  | 1544     2822       2822      0        512     0        7700     
146    -14    -2     -1     -1     PRI  | 1544     4037       4037      0        512     0        10130    
147    -10    -11    -1     -1     PRI  | 2184     2031       2031      0        512     0        6758     
148    -14    -1     -1     -1     PRI  | 1544     4919       4919      0        512     0        11894    
149    -14    -5     -1     -1     PRI  | 1544     2876       2876      0        512     0        7808     
150    -5     -13    -1     -1     PRI  | 2216     1957       1957      0        512     0        6642     
151    -3     -13    -1     -1     PRI  | 2184     2000       2000      0        512     0        6696     
152    -2     -13    -1     -1     PRI  | 2176     1931       1931      0        512     0        6550     
153    -14    -6     -1     -1     PRI  | 1544     3147       3147      0        512     0        8350     
154    -9     -12    -1     -1     PRI  | 2216     1981       1981      0        512     0        6690     
155    -6     -13    -1     -1     PRI  | 2184     1993       1993      0        512     0        6682     
156    -14    -7     -1     -1     PRI  | 1680     3629       3629      0        512     0        9450     
157    -13    -8     -1     -1     PRI  | 1944     2011       2011      0        512     0        6478     
158    -7     -13    -1     -1     PRI  | 2200     1998       1998      0        512     0        6708     
159    -1     -13    -1     -1     PRI  | 2176     1926       1926      0        512     0        6540     
160    -12    -10    -1     -1     PRI  | 2168     1918       1918      0        512     0        6516     
161    -15    -3     -1     -1     PRI  | 1544     3957       3957      0        512     0        9970     
162    -11    -11    -1     -1     PRI  | 2208     1917       1917      0        512     0        6554     
163    -8     -13    -1     -1     PRI  | 2200     1937       1937      0        512     0        6586     
164    -10    -12    -1     -1     PRI  | 2200     1969       1969      0        512     0        6650     
165    -15    -2     -1     -1     PRI  | 1544     4048       4048      0        512     0        10152    
166    -13    -9     -1     -1     PRI  | 2040     2048       2048      0        512     0        6648     
167    -15    -4     -1     -1     PRI  | 1544     3653       3653      0        512     0        9362     
168    -4     -14    -1     -1     PRI  | 2200     1946       1946      0        512     0        6604     
169    -5     -14    -1     -1     PRI  | 2232     1966       1966      0        512     0        6676     
170    -15    -1     -1     -1     PRI  | 1544     4992       4992      0        512     0        12040    
171    -15    -5     -1     -1     PRI  | 1544     3781       3781      0        512     0        9618     
172    -3     -14    -1     -1     PRI  | 2184     1941       1941      0        512     0        6578     
173    -2     -14    -1     -1     PRI  | 2120     1862       1862      0        512     0        6356     
174    -15    -6     -1     -1     PRI  | 1544     3792       3792      0        512     0        9640     
175    -6     -14    -1     -1     PRI  | 2208     1978       1978      0        512     0        6676     
176    -9     -13    -1     -1     PRI  | 2192     1909       1909      0        512     0        6522     
177    -12    -11    -1     -1     PRI  | 2200     1913       1913      0        512     0        6538     
178    -11    -12    -1     -1     PRI  | 2192     2003       2003      0        512     0        6710     
179    -14    -8     -1     -1     PRI  | 1800     2250       2250      0        512     0        6812     
180    -1     -14    -1     -1     PRI  | 2120     1884       1884      0        512     0        6400     
181    -13    -10    -1     -1     PRI  | 2144     1962       1962      0        512     0        6580     
182    -7     -14    -1     -1     PRI  | 2176     1998       1998      0        512     0        6684     
183    -15    -7     -1     -1     PRI  | 1544     4174       4174      0        512     0        10404    
184    -14    -9     -1     -1     PRI  | 1984     2148       2148      0        512     0        6792     
185    -10    -13    -1     -1     PRI  | 2200     1952       1952      0        512     0        6616     
186    -16    -3     -1     -1     PRI  | 1544     4880       4880      0        512     0        11816    
187    -8     -14    -1     -1     PRI  | 2208     2021       2021      0        512     0        6762     
188    -16    -2     -1     -1     PRI  | 1544     4857       4857      0        512     0        11770    
189    -4     -15    -1     -1     PRI  | 2200     1908       1908      0        512     0        6528     
190    -16    -4     -1     -1     PRI  | 1544     4845       4845      0        512     0        11746    
191    -13    -11    -1     -1     PRI  | 2184     1914       1914      0        512     0        6524     
192    -15    -8     -1     -1     PRI  | 1672     2714       2714      0        512     0        7612     
193    -16    -5     -1     -1     PRI  | 1544     4797       4797      0        512     0        11650    
194    -12    -12    -1     -1     PRI  | 2192     2030       2030      0        512     0        6764     
195    -5     -15    -1     -1     PRI  | 2176     1914       1914      0        512     0        6516     
196    -9     -14    -1     -1     PRI  | 2192     1940       1940      0        512     0        6584     
197    -3     -15    -1     -1     PRI  | 2176     1907       1907      0        512     0        6502     
198    -16    -1     -1     -1     PRI  | 1544     5781       5781      0        512     0        13618    
199    -2     -15    -1     -1     PRI  | 2128     1940       1940      0        512     0        6520     
200    -16    -6     -1     -1     PRI  | 1544     4703       4703      0        512     0        11462    
201    -6     -15    -1     -1     PRI  | 2176     1993       1993      0        512     0        6674     
202    -14    -10    -1     -1     PRI  | 2160     2075       2075      0        512     0        6822     
203    -11    -13    -1     -1     PRI  | 2176     1994       1994      0        512     0        6676     
204    -16    -7     -1     -1     PRI  | 1544     5248       5248      0        512     0        12552    
205    -1     -15    -1     -1     PRI  | 2104     1908       1908      0        512     0        6432     
206    -7     -15    -1     -1     PRI  | 2176     1986       1986      0        512     0        6660     
207    -10    -14    -1     -1     PRI  | 2208     1960       1960      0        512     0        6640     
208    -15    -9     -1     -1     PRI  | 1928     2229       2229      0        512     0        6898     
209    -16    -8     -1     -1     PRI  | 1584     3501       3501      0        512     0        9098     
210    -13    -12    -1     -1     PRI  | 2168     1954       1954      0        512     0        6588     
211    -8     -15    -1     -1     PRI  | 2144     1921       1921      0        512     0        6498     
212    -14    -11    -1     -1     PRI  | 2224     1895       1895      0        512     0        6526     
213    -9     -15    -1     -1     PRI  | 2168     1874       1874      0        512     0        6428     
214    -12    -13    -1     -1     PRI  | 2216     1944       1944      0        512     0        6616     
215    -15    -10    -1     -1     PRI  | 2136     2289       2289      0        512     0        7226     
216    -4     -16    -1     -1     PRI  | 2152     1960       1960      0        512     0        6584     
217    -11    -14    -1     -1     PRI  | 2176     1958       1958      0        512     0        6604     
218    -5     -16    -1     -1     PRI  | 2152     1956       1956      0        512     0        6576     
219    -3     -16    -1     -1     PRI  | 2160     1994       1994      0        512     0        6660     
220    -6     -16    -1     -1     PRI  | 2160     1973       1973      0        512     0        6618     
221    -2     -16    -1     -1     PRI  | 2112     1944       1944      0        512     0        6512     
222    -7     -16    -1     -1     PRI  | 2168     1972       1972      0        512     0        6624     
223    -16    -9     -1     -1     PRI  | 1752     2564       2564      0        512     0        7392     
224    -1     -16    -1     -1     PRI  | 2096     1958       1958      0        512     0        6524     
225    -10    -15    -1     -1     PRI  | 2184     1896       1896      0        512     0        6488     
226    -14    -12    -1     -1     PRI  | 2216     1985       1985      0        512     0        6698     
227    -15    -11    -1     -1     PRI  | 2216     2140       2140      0        512     0        7008     
228    -13    -13    -1     -1     PRI  | 2208     1953       1953      0        512     0        6626     
229    -12    -14    -1     -1     PRI  | 2192     1931       1931      0        512     0        6566     
230    -8     -16    -1     -1     PRI  | 2144     2012       2012      0        512     0        6680     
231    -16    -10    -1     -1     PRI  | 1952     2264       2264      0        512     0        6992     
232    -11    -15    -1     -1     PRI  | 2184     1863       1863      0        512     0        6422     
233    -9     -16    -1     -1     PRI  | 2144     1983       1983      0        512     0        6622     
234    -14    -13    -1     -1     PRI  | 2184     1977       1977      0        512     0        6650     
235    -15    -12    -1     -1     PRI  | 2216     2050       2050      0        512     0        6828     
236    -13    -14    -1     -1     PRI  | 2208     1977       1977      0        512     0        6674     
237    -16    -11    -1     -1     PRI  | 2048     2147       2147      0        512     0        6854     
238    -10    -16    -1     -1     PRI  | 2152     1923       1923      0        512     0        6510     
239    -12    -15    -1     -1     PRI  | 2176     1875       1875      0        512     0        6438     
240    -11    -16    -1     -1     PRI  | 2184     1983       1983      0        512     0        6662     
241    -14    -14    -1     -1     PRI  | 2160     1953       1953      0        512     0        6578     
242    -15    -13    -1     -1     PRI  | 2152     1881       1881      0        512     0        6426     
243    -16    -12    -1     -1     PRI  | 2096     2182       2182      0        512     0        6972     
244    -13    -15    -1     -1     PRI  | 2200     1947       1947      0        512     0        6606     
245    -16    -13    -1     -1     PRI  | 2104     2004       2004      0        512     0        6624     
246    -12    -16    -1     -1     PRI  | 2176     1988       1988      0        512     0        6664     
247    -15    -14    -1     -1     PRI  | 2160     1867       1867      0        512     0        6406     
248    -14    -15    -1     -1     PRI  | 2184     1963       1963      0        512     0        6622     
249    -13    -16    -1     -1     PRI  | 2176     2012       2012      0        512     0        6712     
250    -16    -14    -1     -1     PRI  | 2136     1925       1925      0        512     0        6498     
251    -15    -15    -1     -1     PRI  | 2184     1929       1929      0        512     0        6554     
252    -4     1      -1     0      WALL | 1544     5656       5656      0        512     0        13368    
253    -14    -16    -1     -1     PRI  | 2152     2003       2003      0        512     0        6670     
254    -5     1      -1     0      WALL | 1544     5692       5692      0        512     0        13440    
255    -15    -16    -1     -1     PRI  | 2192     2041       2041      0        512     0        6786     
256    -16    -15    -1     -1     PRI  | 2160     1931       1931      0        512     0        6534     
257    -3     1      -1     0      WALL | 1544     5884       5884      0        512     0        13824    
258    -6     1      -1     0      WALL | 1544     5703       5703      0        512     0        13462    
259    -7     1      -1     0      WALL | 1544     5671       5671      0        512     0        13398    
260    -16    -16    -1     -1     PRI  | 2176     2016       2016      0        512     0        6720     
261    -2     1      -1     0      WALL | 1728     5924       5924      0        512     0        14088    
262    -8     1      -1     0      WALL | 1544     5707       5707      0        512     0        13470    
263    0      1      0      0      WALL | 4096     13385      13385     0        512     0        31378    
264    -9     1      -1     0      WALL | 1544     5639       5639      0        512     0        13334    
265    1      0      0      0      WALL | 4096     12213      12213     0        512     0        29034    
266    -1     1      -1     0      WALL | 2144     5275       5275      0        512     0        13206    
267    -10    1      -1     0      WALL | 1544     5959       5959      0        512     0        13974    
268    1      -3     0      -1     WALL | 2792     6700       6700      0        512     0        16704    
269    1      -7     0      -1     WALL | 2224     6081       6081      0        512     0        14898    
270    -11    1      -1     0      WALL | 1544     6854       6854      0        512     0        15764    
271    1      -4     0      -1     WALL | 2728     7959       7959      0        512     0        19158    
272    1      -8     0      -1     WALL | 2152     5220       5220      0        512     0        13104    
273    1      -6     0      -1     WALL | 2392     6442       6442      0        512     0        15788    
274    1      -5     0      -1     WALL | 2568     7828       7828      0        512     0        18736    
275    1      -9     0      -1     WALL | 2264     5605       5605      0        512     0        13986    
276    -12    1      -1     0      WALL | 1544     6886       6886      0        512     0        15828    
277    1      -2     0      -1     WALL | 2792     6061       6061      0        512     0        15426    
278    -13    1      -1     0      WALL | 1544     6885       6885      0        512     0        15826    
279    -14    1      -1     0      WALL | 1544     6858       6858      0        512     0        15772    
280    1      -1     0      -1     WALL | 2784     6441       6441      0        512     0        16178    
281    1      -10    0      -1     WALL | 2208     5820       5820      0        512     0        14360    
282    -15    1      -1     0      WALL | 1544     6877       6877      0        512     0        15810    
283    1      -11    0      -1     WALL | 2184     5386       5386      0        512     0        13468    
284    -16    1      -1     0      WALL | 1544     7816       7816      0        512     0        17688    
285    1      -12    0      -1     WALL | 2128     5161       5161      0        512     0        12962    
286    -17    1      -1     0      WALL | 4096     16503      16503     0        512     0        37614    
287    1      -13    0      -1     WALL | 2168     5191       5191      0        512     0        13062    
288    1      -14    0      -1     WALL | 2136     5201       5201      0        512     0        13050    
289    -18    -3     -2     -1     WALL | 1544     6806       6806      0        512     0        15668    
290    1      -15    0      -1     WALL | 2120     5134       5134      0        512     0        12900    
291    -18    -4     -2     -1     WALL | 1544     6776       6776      0        512     0        15608    
292    1      -16    0      -1     WALL | 2096     5162       5162      0        512     0        12932    
293    -18    -2     -2     -1     WALL | 1544     6808       6808      0        512     0        15672    
294    -18    -5     -2     -1     WALL | 1544     6745       6745      0        512     0        15546    
295    -18    -1     -2     -1     WALL | 1544     7616       7616      0        512     0        17288    
296    -18    -7     -2     -1     WALL | 1544     5895       5895      0        512     0        13846    
297    -18    -8     -2     -1     WALL | 1544     5423       5423      0        512     0        12902    
298    -18    -6     -2     -1     WALL | 1544     6746       6746      0        512     0        15548    
299    -18    0      -2     0      WALL | 4096     16431      16431     0        512     0        37470    
300    1      -17    0      -1     WALL | 4096     14059      14059     0        512     0        32726    
301    -18    -9     -2     -1     WALL | 1544     5251       5251      0        512     0        12558    
302    -4     -18    -1     -2     WALL | 2136     5081       5081      0        512     0        12810    
303    -5     -18    -1     -2     WALL | 2144     5124       5124      0        512     0        12904    
304    -3     -18    -1     -2     WALL | 2128     5069       5069      0        512     0        12778    
305    -7     -18    -1     -2     WALL | 2112     5057       5057      0        512     0        12738    
306    0      -18    0      -2     WALL | 4096     13999      13999     0        512     0        32606    
307    -2     -18    -1     -2     WALL | 2120     5082       5082      0        512     0        12796    
308    -18    -10    -2     -1     WALL | 1560     5300       5300      0        512     0        12672    
309    -6     -18    -1     -2     WALL | 2128     5124       5124      0        512     0        12888    
310    -1     -18    -1     -2     WALL | 2104     5157       5157      0        512     0        12930    
311    -18    -11    -2     -1     WALL | 1672     5147       5147      0        512     0        12478    
312    -8     -18    -1     -2     WALL | 2104     5004       5004      0        512     0        12624    
313    -9     -18    -1     -2     WALL | 2136     5167       5167      0        512     0        12982    
314    -11    -18    -1     -2     WALL | 2128     5056       5056      0        512     0        12752    
315    -10    -18    -1     -2     WALL | 2144     5219       5219      0        512     0        13094    
316    -18    -12    -2     -1     WALL | 1840     4689       4689      0        512     0        11730    
317    -12    -18    -1     -2     WALL | 2120     5004       5004      0        512     0        12640    
318    -13    -18    -1     -2     WALL | 2144     5052       5052      0        512     0        12760    
319    -18    -13    -2     -1     WALL | 1968     4767       4767      0        512     0        12014    
320    -18    -14    -2     -1     WALL | 2088     5030       5030      0        512     0        12660    
321    -14    -18    -1     -2     WALL | 2152     5091       5091      0        512     0        12846    
322    -18    -17    -2     -1     WALL | 4096     13619      13619     0        512     0        31846    
323    -18    -15    -2     -1     WALL | 2136     5069       5069      0        512     0        12786    
324    -15    -18    -1     -2     WALL | 2152     5062       5062      0        512     0        12788    
325    -18    -16    -2     -1     WALL | 2216     5325       5325      0        512     0        13378    
326    -17    -18    -1     -2     WALL | 4096     13728      13728     0        512     0        32064    
327    -16    -18    -1     -2     WALL | 2160     5195       5195      0        512     0        13062    
328    -4     0      -1     0      WALL | 4096     9817       9817      0        512     0        24242    
329    -3     0      -1     0      WALL | 4096     9742       9742      0        512     0        24092    
330    -5     0      -1     0      WALL | 4096     9921       9921      0        512     0        24450    
331    -2     0      -1     0      WALL | 4096     8979       8979      0        512     0        22566    
332    -6     0      -1     0      WALL | 4096     9897       9897      0        512     0        24402    
333    0      -2     0      -1     WALL | 4096     6256       6256      0        512     0        17120    
334    0      -3     0      -1     WALL | 4096     6201       6201      0        512     0        17010    
335    -8     0      -1     0      WALL | 4096     21656      21656     0        512     0        47920    
336    0      -4     0      -1     WALL | 4096     6518       6518      0        512     0        17644    
337    -7     0      -1     0      WALL | 4096     9896       9896      0        512     0        24400    
338    -1     0      -1     0      WALL | 4096     7939       7939      0        512     0        20486    
339    0      -5     0      -1     WALL | 4096     6925       6925      0        512     0        18458    
340    -9     0      -1     0      WALL | 4096     22131      22131     0        512     0        48870    
341    0      0      0      0      WALL | 4096     1706       1706      0        512     0        8020     
342    0      -1     0      -1     WALL | 4096     6572       6572      0        512     0        17752    
343    0      -6     0      -1     WALL | 4096     7329       7329      0        512     0        19266    
344    0      -8     0      -1     WALL | 4096     16773      16773     0        512     0        38154    
