=== NQL SDK RAM SNAPSHOT 004 ===
timestamp=2026-04-13 15:24:35.036
WorkingSet=11610.4 MB
PeakWorkingSet=11624.5 MB
PrivateBytes=12153.1 MB
PagefileUsage=12153.1 MB
PeakPagefile=12153.2 MB
VRAM_Local=1970.0 MB  (discrete GPU memory in use)
VRAM_Shared=0.0 MB  (system RAM used by GPU for non-local resources)
TextureArray_Est=3.44 MB  (block+font atlas, RGBA8 no mips, 881 layers)
ResidentChunks=400


[RAM: per-chunk breakdown — all values are CPU RAM unless noted]
SLOT   CX     CZ     SCX    SCZ    ROLE | BLK_KB   CMESH_KB   UPLOAD_KB SUB_KB   SIM_KB  CONS_KB  TOTAL_KB 
------ ------ ------ ------ ------ ---- + -------- ---------- --------- -------- ------- -------- ---------
0      -4     -3     -1     -1     PRI  | 2136     1937       1937      0        512     0        6522     
1      -4     -4     -1     -1     PRI  | 2152     5153       5153      0        512     0        12970    
2      -3     -4     -1     -1     PRI  | 2168     8364       8364      0        512     0        19408    
3      -4     -1     -1     -1     PRI  | 1824     2595       2595      0        512     0        7526     
4      -5     -4     -1     -1     PRI  | 2152     8388       8388      0        512     0        19440    
5      -2     -3     -1     -1     PRI  | 2352     2091       2091      0        512     0        7046     
6      -3     -3     -1     -1     PRI  | 2168     1971       1971      0        512     0        6622     
7      -5     -3     -1     -1     PRI  | 2152     5065       5065      0        512     0        12794    
8      -3     -2     -1     -1     PRI  | 2112     7847       7847      0        512     0        18318    
9      -5     -2     -1     -1     PRI  | 2080     7689       7689      0        512     0        17970    
10     -4     -2     -1     -1     PRI  | 2032     13507      13507     0        512     0        29558    
11     -6     -1     -1     -1     PRI  | 1784     2723       2723      0        512     0        7742     
12     -5     -1     -1     -1     PRI  | 1816     2907       2907      0        512     0        8142     
13     -6     -4     -1     -1     PRI  | 2136     1963       1963      0        512     0        6574     
14     -5     -5     -1     -1     PRI  | 2168     1997       1997      0        512     0        6674     
15     -4     -6     -1     -1     PRI  | 2152     1923       1923      0        512     0        6510     
16     -2     -5     -1     -1     PRI  | 2264     2075       2075      0        512     0        6926     
17     -2     -2     -1     -1     PRI  | 2296     2359       2359      0        512     0        7526     
18     -6     -5     -1     -1     PRI  | 2152     1915       1915      0        512     0        6494     
19     -4     -5     -1     -1     PRI  | 2136     1905       1905      0        512     0        6458     
20     -3     -5     -1     -1     PRI  | 2168     2001       2001      0        512     0        6682     
21     -3     -1     -1     -1     PRI  | 1840     2595       2595      0        512     0        7542     
22     -6     -3     -1     -1     PRI  | 2160     1988       1988      0        512     0        6648     
23     -2     -4     -1     -1     PRI  | 2312     2094       2094      0        512     0        7012     
24     -2     -1     -1     -1     PRI  | 2088     2504       2504      0        512     0        7608     
25     -1     -3     -1     -1     PRI  | 2504     2138       2138      0        512     0        7292     
26     -6     -2     -1     -1     PRI  | 2104     2158       2158      0        512     0        6932     
27     -7     -1     -1     -1     PRI  | 1768     2862       2862      0        512     0        8004     
28     -3     -6     -1     -1     PRI  | 2168     1944       1944      0        512     0        6568     
29     -7     -4     -1     -1     PRI  | 2120     2039       2039      0        512     0        6710     
30     -5     -6     -1     -1     PRI  | 2144     1900       1900      0        512     0        6456     
31     -7     -3     -1     -1     PRI  | 2120     2228       2228      0        512     0        7088     
32     -7     -5     -1     -1     PRI  | 2128     1895       1895      0        512     0        6430     
33     -6     -6     -1     -1     PRI  | 2152     1917       1917      0        512     0        6498     
34     -2     -6     -1     -1     PRI  | 2184     1987       1987      0        512     0        6670     
35     -7     -2     -1     -1     PRI  | 2080     2298       2298      0        512     0        7188     
36     -1     -4     -1     -1     PRI  | 2440     2100       2100      0        512     0        7152     
37     -1     -5     -1     -1     PRI  | 2360     2089       2089      0        512     0        7050     
38     -4     -7     -1     -1     PRI  | 2136     1991       1991      0        512     0        6630     
39     -8     -3     -1     -1     PRI  | 1984     2321       2321      0        512     0        7138     
40     -3     -7     -1     -1     PRI  | 2176     2003       2003      0        512     0        6694     
41     -1     -2     -1     -1     PRI  | 2504     2263       2263      0        512     0        7542     
42     -1     -1     -1     -1     PRI  | 2392     2311       2311      0        512     0        7526     
43     -8     -1     -1     -1     PRI  | 1672     3650       3650      0        512     0        9484     
44     -8     -2     -1     -1     PRI  | 1840     2551       2551      0        512     0        7454     
45     -8     -4     -1     -1     PRI  | 2024     2213       2213      0        512     0        6962     
46     -5     -7     -1     -1     PRI  | 2176     2016       2016      0        512     0        6720     
47     -7     -6     -1     -1     PRI  | 2184     1860       1860      0        512     0        6416     
48     -1     -6     -1     -1     PRI  | 2248     2088       2088      0        512     0        6936     
49     -8     -5     -1     -1     PRI  | 2104     2064       2064      0        512     0        6744     
50     -2     -7     -1     -1     PRI  | 2168     1933       1933      0        512     0        6546     
51     -9     -3     -1     -1     PRI  | 1752     2929       2929      0        512     0        8122     
52     -6     -7     -1     -1     PRI  | 2208     2019       2019      0        512     0        6758     
53     -4     -8     -1     -1     PRI  | 2192     2046       2046      0        512     0        6796     
54     -7     -7     -1     -1     PRI  | 2232     1932       1932      0        512     0        6608     
55     -9     -2     -1     -1     PRI  | 1616     3338       3338      0        512     0        8804     
56     -8     -6     -1     -1     PRI  | 2184     2031       2031      0        512     0        6758     
57     -1     -7     -1     -1     PRI  | 2144     2038       2038      0        512     0        6732     
58     -5     -8     -1     -1     PRI  | 2168     1967       1967      0        512     0        6614     
59     -9     -1     -1     -1     PRI  | 1544     4103       4103      0        512     0        10262    
60     -3     -8     -1     -1     PRI  | 2184     2043       2043      0        512     0        6782     
61     -9     -4     -1     -1     PRI  | 1904     2290       2290      0        512     0        6996     
62     -6     -8     -1     -1     PRI  | 2224     2011       2011      0        512     0        6758     
63     -10    -3     -1     -1     PRI  | 1544     3505       3505      0        512     0        9066     
64     -2     -8     -1     -1     PRI  | 2176     1951       1951      0        512     0        6590     
65     -10    -2     -1     -1     PRI  | 1544     3105       3105      0        512     0        8266     
66     -9     -6     -1     -1     PRI  | 2144     2108       2108      0        512     0        6872     
67     -7     -8     -1     -1     PRI  | 2256     2005       2005      0        512     0        6778     
68     -8     -7     -1     -1     PRI  | 2232     1911       1911      0        512     0        6566     
69     -1     -8     -1     -1     PRI  | 2168     2047       2047      0        512     0        6774     
70     -4     -9     -1     -1     PRI  | 2176     1991       1991      0        512     0        6670     
71     -10    -4     -1     -1     PRI  | 1720     2891       2891      0        512     0        8014     
72     -9     -5     -1     -1     PRI  | 1976     1992       1992      0        512     0        6472     
