=== NQL SDK RAM SNAPSHOT 001 ===
timestamp=2026-04-13 15:22:41.050
WorkingSet=6315.1 MB
PeakWorkingSet=6320.1 MB
PrivateBytes=6348.8 MB
PagefileUsage=6348.8 MB
PeakPagefile=6360.9 MB
VRAM_Local=215.9 MB  (discrete GPU memory in use)
VRAM_Shared=0.0 MB  (system RAM used by GPU for non-local resources)
TextureArray_Est=3.44 MB  (block+font atlas, RGBA8 no mips, 881 layers)
ResidentChunks=335


[RAM: per-chunk breakdown — all values are CPU RAM unless noted]
SLOT   CX     CZ     SCX    SCZ    ROLE | BLK_KB   CMESH_KB   UPLOAD_KB SUB_KB   SIM_KB  CONS_KB  TOTAL_KB 
73     -5     -9     -1     -1     PRI  | 2160     0          0         14874    512     0        17546    
74     -10    -1     -1     -1     PRI  | 1544     0          0         11943    512     0        13999    
75     -3     -9     -1     -1     PRI  | 2168     0          0         14748    512     0        17428    
76     -6     -9     -1     -1     PRI  | 2200     0          0         14952    512     0        17664    
77     -11    -3     -1     -1     PRI  | 1544     0          0         10745    512     0        12801    
78     -11    -2     -1     -1     PRI  | 1544     0          0         11154    512     0        13210    
79     -2     -9     -1     -1     PRI  | 2152     0          0         14712    512     0        17376    
80     -9     -7     -1     -1     PRI  | 2216     0          0         14902    512     0        17630    
81     -10    -5     -1     -1     PRI  | 1888     0          0         12686    512     0        15086    
82     -8     -8     -1     -1     PRI  | 2240     0          0         15199    512     0        17951    
83     -11    -4     -1     -1     PRI  | 1592     0          0         11692    512     0        13796    
84     -1     -9     -1     -1     PRI  | 2168     0          0         18058    512     0        20738    
85     -7     -9     -1     -1     PRI  | 2232     0          0         14985    512     0        17729    
86     -4     -10    -1     -1     PRI  | 2192     0          0         14872    512     0        17576    
87     -9     -8     -1     -1     PRI  | 2264     0          0         15212    512     0        17988    
88     -10    -6     -1     -1     PRI  | 2112     0          0         14030    512     0        16654    
89     -5     -10    -1     -1     PRI  | 2192     0          0         14943    512     0        17647    
90     -3     -10    -1     -1     PRI  | 2216     0          0         14898    512     0        17626    
91     -8     -9     -1     -1     PRI  | 2240     0          0         15065    512     0        17817    
92     -11    -1     -1     -1     PRI  | 1544     0          0         13089    512     0        15145    
93     -11    -5     -1     -1     PRI  | 1808     0          0         12206    512     0        14526    
94     -10    -7     -1     -1     PRI  | 2192     0          0         14818    512     0        17522    
95     -12    -3     -1     -1     PRI  | 1544     0          0         10623    512     0        12679    
96     -6     -10    -1     -1     PRI  | 2208     0          0         14964    512     0        17684    
97     -12    -4     -1     -1     PRI  | 1544     0          0         11063    512     0        13119    
98     -2     -10    -1     -1     PRI  | 2216     0          0         15000    512     0        17728    
99     -7     -10    -1     -1     PRI  | 2200     0          0         14884    512     0        17596    
100    -12    -2     -1     -1     PRI  | 1544     0          0         11583    512     0        13639    
101    -1     -10    -1     -1     PRI  | 2192     0          0         18184    512     0        20888    
102    -10    -8     -1     -1     PRI  | 2248     0          0         15140    512     0        17900    
103    -9     -9     -1     -1     PRI  | 2248     0          0         15143    512     0        17903    
104    -4     -11    -1     -1     PRI  | 2184     0          0         14810    512     0        17506    
105    -11    -6     -1     -1     PRI  | 2096     0          0         13538    512     0        16146    
106    -8     -10    -1     -1     PRI  | 2200     0          0         14984    512     0        17696    
107    -5     -11    -1     -1     PRI  | 2208     0          0         15020    512     0        17740    
108    -12    -5     -1     -1     PRI  | 1672     0          0         11929    512     0        14113    
109    -12    -1     -1     -1     PRI  | 1544     0          0         13581    512     0        15637    
110    -11    -7     -1     -1     PRI  | 2184     0          0         14486    512     0        17182    
111    -3     -11    -1     -1     PRI  | 2232     0          0         14908    512     0        17652    
112    -6     -11    -1     -1     PRI  | 2200     0          0         14950    512     0        17662    
113    -2     -11    -1     -1     PRI  | 2232     0          0         15001    512     0        17745    
114    -12    -6     -1     -1     PRI  | 1896     0          0         12409    512     0        14817    
115    -10    -9     -1     -1     PRI  | 2240     0          0         15130    512     0        17882    
116    -1     -11    -1     -1     PRI  | 2184     0          0         18192    512     0        20888    
117    -9     -10    -1     -1     PRI  | 2208     0          0         14943    512     0        17663    
118    -7     -11    -1     -1     PRI  | 2200     0          0         14820    512     0        17532    
119    -13    -3     -1     -1     PRI  | 1544     0          0         10435    512     0        12491    
120    -11    -8     -1     -1     PRI  | 2216     0          0         14850    512     0        17578    
121    -8     -11    -1     -1     PRI  | 2232     0          0         15081    512     0        17825    
122    -4     -12    -1     -1     PRI  | 2184     0          0         14862    512     0        17558    
123    -13    -2     -1     -1     PRI  | 1544     0          0         11608    512     0        13664    
124    -12    -7     -1     -1     PRI  | 2000     0          0         13341    512     0        15853    
125    -13    -4     -1     -1     PRI  | 1544     0          0         10537    512     0        12593    
126    -5     -12    -1     -1     PRI  | 2216     0          0         14958    512     0        17686    
127    -3     -12    -1     -1     PRI  | 2184     0          0         14794    512     0        17490    
128    -13    -5     -1     -1     PRI  | 1544     0          0         11328    512     0        13384    
129    -13    -1     -1     -1     PRI  | 1544     0          0         13637    512     0        15693    
130    -2     -12    -1     -1     PRI  | 2184     0          0         14793    512     0        17489    
131    -11    -9     -1     -1     PRI  | 2232     0          0         14910    512     0        17654    
132    -6     -12    -1     -1     PRI  | 2184     0          0         14851    512     0        17547    
133    -13    -6     -1     -1     PRI  | 1648     0          0         11831    512     0        13991    
134    -10    -10    -1     -1     PRI  | 2208     0          0         15034    512     0        17754    
135    -12    -8     -1     -1     PRI  | 2112     0          0         13992    512     0        16616    
136    -9     -11    -1     -1     PRI  | 2208     0          0         14951    512     0        17671    
137    -7     -12    -1     -1     PRI  | 2200     0          0         14881    512     0        17593    
138    -14    -3     -1     -1     PRI  | 1544     0          0         10628    512     0        12684    
139    -1     -12    -1     -1     PRI  | 2176     0          0         18217    512     0        20905    
140    -8     -12    -1     -1     PRI  | 2224     0          0         14989    512     0        17725    
141    -13    -7     -1     -1     PRI  | 1824     0          0         12499    512     0        14835    
142    -12    -9     -1     -1     PRI  | 2128     0          0         14328    512     0        16968    
143    -11    -10    -1     -1     PRI  | 2200     0          0         14859    512     0        17571    
144    -4     -13    -1     -1     PRI  | 2208     0          0         14940    512     0        17660    
145    -14    -4     -1     -1     PRI  | 1544     0          0         10106    512     0        12162    
146    -14    -2     -1     -1     PRI  | 1544     0          0         11655    512     0        13711    
147    -10    -11    -1     -1     PRI  | 2184     0          0         14905    512     0        17601    
148    -14    -1     -1     -1     PRI  | 1544     0          0         13638    512     0        15694    
149    -14    -5     -1     -1     PRI  | 1544     0          0         10445    512     0        12501    
150    -5     -13    -1     -1     PRI  | 2216     0          0         14974    512     0        17702    
151    -3     -13    -1     -1     PRI  | 2184     0          0         14829    512     0        17525    
152    -2     -13    -1     -1     PRI  | 2176     0          0         14705    512     0        17393    
153    -14    -6     -1     -1     PRI  | 1544     0          0         11077    512     0        13133    
154    -9     -12    -1     -1     PRI  | 2216     0          0         15012    512     0        17740    
155    -6     -13    -1     -1     PRI  | 2184     0          0         14944    512     0        17640    
156    -14    -7     -1     -1     PRI  | 1680     0          0         12298    512     0        14490    
