Performance Profiler Log
Started: 20260413_152453
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,CU_ManagerUpdate_ms,CU_Eviction_ms,CU_SyncLoad_ms,CU_SyncWorldgen_ms,CU_SyncMesh_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms,ChunksEvicted,ChunksSyncGen,ChunksSyncLoaded,DesiredCount,ResidentCount
StartGraphics: preset=high display=borderless grid=9 render_distance=4 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 experimental_runtime_opt=1 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
31,35.473,35.457,0.016,33.806,0.002,0.002,0.000,0.000,0.000,0.000,0.671,0.861,0.005,0.058,0.000,0.001,0.000,0.002,0.052,0,0,0,400,400
32,32.887,32.864,0.023,31.192,0.004,0.003,0.000,0.000,0.000,0.000,0.692,0.863,0.009,0.026,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
33,35.335,35.306,0.029,33.609,0.003,0.003,0.000,0.000,0.000,0.000,0.693,0.884,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
34,30.425,30.401,0.024,28.723,0.004,0.003,0.000,0.000,0.000,0.000,0.695,0.863,0.009,0.028,0.001,0.002,0.001,0.002,0.075,0,0,0,400,400
35,33.074,33.051,0.023,31.352,0.004,0.004,0.000,0.000,0.000,0.000,0.687,0.891,0.008,0.028,0.001,0.002,0.001,0.002,0.075,0,0,0,400,400
36,34.188,34.164,0.024,32.477,0.003,0.003,0.000,0.000,0.000,0.000,0.693,0.876,0.008,0.030,0.001,0.001,0.001,0.002,0.072,0,0,0,400,400
37,33.903,33.877,0.026,32.194,0.003,0.003,0.000,0.000,0.000,0.000,0.688,0.873,0.007,0.035,0.001,0.001,0.001,0.004,0.070,0,0,0,400,400
38,33.461,33.438,0.024,31.753,0.004,0.003,0.000,0.000,0.000,0.000,0.695,0.870,0.009,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
39,32.343,32.319,0.023,30.651,0.004,0.003,0.000,0.000,0.000,0.000,0.686,0.864,0.009,0.027,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
40,33.628,33.601,0.028,31.894,0.003,0.003,0.000,0.000,0.000,0.000,0.701,0.869,0.008,0.045,0.001,0.002,0.001,0.004,0.073,0,0,0,400,400
41,33.446,33.423,0.023,31.746,0.004,0.004,0.000,0.000,0.000,0.000,0.692,0.865,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
42,32.492,32.469,0.023,30.792,0.004,0.004,0.000,0.000,0.000,0.000,0.688,0.871,0.009,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
43,33.526,33.504,0.023,31.816,0.003,0.003,0.000,0.000,0.000,0.000,0.698,0.872,0.008,0.029,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
44,34.043,34.020,0.023,32.345,0.004,0.004,0.000,0.000,0.000,0.000,0.696,0.861,0.009,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
45,32.691,32.668,0.023,30.997,0.004,0.003,0.000,0.000,0.000,0.000,0.687,0.861,0.008,0.034,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
46,33.155,33.132,0.023,31.457,0.004,0.004,0.000,0.000,0.000,0.000,0.693,0.861,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
47,33.998,33.975,0.023,32.302,0.003,0.003,0.000,0.000,0.000,0.000,0.687,0.867,0.009,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
48,33.476,33.452,0.023,31.777,0.003,0.003,0.000,0.000,0.000,0.000,0.692,0.864,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
49,32.314,32.291,0.024,30.608,0.004,0.003,0.000,0.000,0.000,0.000,0.686,0.877,0.008,0.029,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
50,34.073,34.050,0.023,32.374,0.004,0.003,0.000,0.000,0.000,0.000,0.694,0.863,0.009,0.027,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
51,32.633,32.610,0.023,30.935,0.004,0.003,0.000,0.000,0.000,0.000,0.685,0.870,0.009,0.027,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
52,34.365,34.343,0.023,32.602,0.004,0.004,0.000,0.000,0.000,0.000,0.757,0.866,0.008,0.028,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
53,32.688,32.665,0.023,30.995,0.004,0.003,0.000,0.000,0.000,0.000,0.693,0.859,0.009,0.027,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
54,33.257,33.233,0.023,31.275,0.004,0.003,0.000,0.000,0.000,0.000,0.696,0.866,0.010,0.029,0.001,0.002,0.001,0.002,0.349,0,0,0,400,400
55,32.532,32.509,0.023,30.838,0.004,0.004,0.000,0.000,0.000,0.000,0.684,0.867,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
56,33.831,33.808,0.023,32.119,0.004,0.003,0.000,0.000,0.000,0.000,0.689,0.876,0.008,0.031,0.001,0.002,0.001,0.002,0.076,0,0,0,400,400
57,33.860,33.837,0.023,32.149,0.004,0.004,0.000,0.000,0.000,0.000,0.697,0.870,0.008,0.028,0.001,0.002,0.001,0.002,0.076,0,0,0,400,400
58,32.437,32.414,0.023,30.744,0.004,0.003,0.000,0.000,0.000,0.000,0.692,0.861,0.009,0.027,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
59,33.458,33.435,0.023,31.757,0.003,0.003,0.000,0.000,0.000,0.000,0.700,0.861,0.008,0.027,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
60,32.463,32.440,0.023,30.759,0.003,0.003,0.000,0.000,0.000,0.000,0.693,0.871,0.008,0.028,0.001,0.002,0.001,0.002,0.071,0,0,0,400,400
61,33.867,33.844,0.023,32.162,0.004,0.003,0.000,0.000,0.000,0.000,0.689,0.877,0.008,0.027,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
62,32.447,32.424,0.023,30.757,0.003,0.003,0.000,0.000,0.000,0.000,0.685,0.865,0.009,0.028,0.001,0.001,0.001,0.002,0.073,0,0,0,400,400
63,34.325,34.304,0.021,32.646,0.004,0.003,0.000,0.000,0.000,0.000,0.684,0.865,0.007,0.027,0.000,0.001,0.001,0.002,0.067,0,0,0,400,400
64,34.139,34.116,0.023,32.424,0.004,0.003,0.000,0.000,0.000,0.000,0.707,0.867,0.009,0.027,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
65,32.874,32.850,0.024,31.170,0.004,0.004,0.000,0.000,0.000,0.000,0.692,0.869,0.009,0.027,0.001,0.002,0.001,0.002,0.075,0,0,0,400,400
66,32.406,32.383,0.023,30.695,0.003,0.003,0.000,0.000,0.000,0.000,0.703,0.868,0.008,0.028,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
67,34.843,34.820,0.023,33.141,0.004,0.003,0.000,0.000,0.000,0.000,0.694,0.866,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
68,32.702,32.679,0.023,31.001,0.003,0.003,0.000,0.000,0.000,0.000,0.698,0.862,0.009,0.027,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
69,32.014,31.991,0.023,30.311,0.004,0.004,0.000,0.000,0.000,0.000,0.694,0.865,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
70,34.717,34.693,0.024,33.008,0.003,0.003,0.000,0.000,0.000,0.000,0.686,0.882,0.009,0.027,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
71,32.838,32.813,0.025,31.100,0.004,0.003,0.000,0.000,0.000,0.000,0.684,0.910,0.009,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
72,33.804,33.780,0.023,32.108,0.004,0.003,0.000,0.000,0.000,0.000,0.685,0.867,0.009,0.029,0.001,0.002,0.001,0.002,0.075,0,0,0,400,400
73,32.896,32.872,0.024,31.192,0.004,0.003,0.000,0.000,0.000,0.000,0.700,0.862,0.009,0.027,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
74,32.582,32.559,0.023,30.875,0.003,0.003,0.000,0.000,0.000,0.000,0.688,0.876,0.009,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
75,33.788,33.765,0.023,32.083,0.004,0.004,0.000,0.000,0.000,0.000,0.691,0.871,0.008,0.030,0.001,0.001,0.001,0.002,0.072,0,0,0,400,400
76,33.584,33.561,0.023,31.890,0.004,0.003,0.000,0.000,0.000,0.000,0.686,0.866,0.008,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
77,33.537,33.513,0.023,31.828,0.004,0.003,0.000,0.000,0.000,0.000,0.695,0.871,0.009,0.026,0.001,0.002,0.001,0.002,0.076,0,0,0,400,400
78,33.385,33.361,0.024,31.678,0.004,0.003,0.000,0.000,0.000,0.000,0.698,0.863,0.009,0.030,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
79,32.987,32.963,0.023,31.291,0.004,0.003,0.000,0.000,0.000,0.000,0.691,0.865,0.008,0.027,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
80,33.741,33.718,0.023,32.044,0.004,0.003,0.000,0.000,0.000,0.000,0.696,0.860,0.009,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
81,31.933,31.906,0.027,30.229,0.004,0.003,0.000,0.000,0.000,0.000,0.692,0.866,0.008,0.029,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
82,34.172,34.150,0.023,32.471,0.004,0.003,0.000,0.000,0.000,0.000,0.688,0.872,0.009,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
83,33.826,33.802,0.024,32.134,0.004,0.003,0.000,0.000,0.000,0.000,0.684,0.865,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
84,33.562,33.538,0.023,31.656,0.004,0.004,0.000,0.000,0.000,0.000,0.698,0.862,0.009,0.027,0.001,0.002,0.001,0.002,0.277,0,0,0,400,400
85,32.008,31.980,0.028,29.842,0.007,0.006,0.000,0.000,0.000,0.000,1.031,0.869,0.009,0.049,0.001,0.002,0.002,0.004,0.164,0,0,0,400,400
