Performance Profiler Log
Started: 20260413_010315
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,CU_ManagerUpdate_ms,CU_Eviction_ms,CU_SyncLoad_ms,CU_SyncWorldgen_ms,CU_SyncMesh_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms,ChunksEvicted,ChunksSyncGen,ChunksSyncLoaded,DesiredCount,ResidentCount
StartGraphics: preset=high display=borderless grid=9 render_distance=4 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,566709860.115,12.030,566709848.085,11.888,0.002,0.001,0.000,0.000,0.000,0.000,0.040,0.018,0.003,0.026,0.001,0.001,0.002,0.000,0.048,0,0,0,81,81
1,16.087,16.017,0.070,11.342,0.002,0.001,0.000,0.000,0.000,0.000,0.051,1.064,3.451,0.032,0.001,0.002,0.002,0.003,0.065,0,0,0,81,81
2,16.817,16.752,0.065,16.407,0.002,0.001,0.000,0.000,0.000,0.000,0.049,0.021,0.003,0.033,0.001,0.002,0.003,0.003,0.227,0,0,0,81,81
3,16.172,16.090,0.082,15.910,0.002,0.001,0.000,0.000,0.000,0.000,0.048,0.026,0.006,0.031,0.001,0.002,0.002,0.003,0.059,0,0,0,81,81
4,16.999,16.944,0.055,16.805,0.001,0.001,0.000,0.000,0.000,0.000,0.036,0.017,0.007,0.024,0.001,0.002,0.002,0.002,0.046,0,0,0,81,81
5,16.462,16.395,0.067,16.207,0.001,0.001,0.000,0.000,0.000,0.000,0.051,0.026,0.006,0.030,0.001,0.002,0.002,0.004,0.062,0,0,0,81,81
6,15.809,15.735,0.074,15.533,0.001,0.001,0.000,0.000,0.000,0.000,0.052,0.026,0.007,0.035,0.001,0.002,0.003,0.003,0.071,0,0,0,81,81
7,16.849,16.781,0.068,16.596,0.001,0.001,0.000,0.000,0.000,0.000,0.050,0.026,0.006,0.031,0.001,0.002,0.003,0.003,0.060,0,0,0,81,81
8,20.534,20.465,0.068,20.279,0.001,0.001,0.000,0.000,0.000,0.000,0.050,0.027,0.007,0.031,0.001,0.002,0.002,0.003,0.061,0,0,0,81,81
9,12.524,12.473,0.051,12.334,0.001,0.001,0.000,0.000,0.000,0.000,0.037,0.020,0.004,0.024,0.001,0.002,0.002,0.003,0.045,0,0,0,81,81
