Performance Profiler Log
Started: 20260413_004242
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=9 render_distance=4 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=1] pause_view=5
0,565476238.765,12.849,565476225.916,12.682,0.001,0.040,0.019,0.004,0.030,0.023,0.001,0.004,0.000,0.046
1,16.162,16.094,0.067,15.876,0.001,0.052,0.025,0.006,0.045,0.021,0.002,0.003,0.003,0.061
2,16.656,16.575,0.081,16.369,0.001,0.051,0.025,0.006,0.039,0.018,0.002,0.002,0.004,0.059
3,16.598,16.534,0.064,16.332,0.001,0.051,0.024,0.006,0.039,0.017,0.002,0.002,0.004,0.056
4,16.737,16.673,0.064,16.473,0.001,0.050,0.024,0.006,0.039,0.017,0.002,0.002,0.004,0.056
5,16.372,16.302,0.070,16.069,0.001,0.052,0.024,0.006,0.047,0.023,0.002,0.003,0.004,0.072
6,16.361,16.294,0.068,16.070,0.001,0.050,0.025,0.006,0.052,0.019,0.002,0.004,0.003,0.061
7,16.346,16.279,0.067,16.061,0.001,0.052,0.025,0.006,0.048,0.018,0.002,0.003,0.004,0.059
8,16.691,16.627,0.064,16.410,0.001,0.051,0.024,0.006,0.037,0.018,0.002,0.002,0.004,0.072
9,16.471,16.408,0.064,16.211,0.001,0.050,0.024,0.006,0.035,0.018,0.002,0.002,0.003,0.056
10,16.779,16.715,0.064,16.519,0.001,0.050,0.024,0.006,0.035,0.017,0.002,0.002,0.003,0.056
11,16.457,16.392,0.065,16.183,0.001,0.050,0.024,0.006,0.036,0.018,0.002,0.002,0.003,0.068
12,17.152,17.092,0.061,16.903,0.001,0.048,0.024,0.005,0.032,0.017,0.002,0.002,0.003,0.054
13,16.266,16.201,0.065,15.998,0.001,0.051,0.025,0.007,0.038,0.018,0.002,0.002,0.003,0.057
14,16.621,16.557,0.064,16.345,0.001,0.050,0.024,0.006,0.035,0.018,0.002,0.002,0.003,0.071
15,16.698,16.634,0.064,16.434,0.001,0.050,0.024,0.006,0.038,0.018,0.002,0.002,0.004,0.056
16,16.535,16.468,0.066,16.264,0.001,0.050,0.024,0.007,0.041,0.018,0.002,0.002,0.003,0.056
17,16.707,16.633,0.074,16.425,0.001,0.050,0.024,0.006,0.035,0.017,0.002,0.002,0.003,0.069
18,16.703,16.637,0.065,16.444,0.001,0.050,0.024,0.006,0.031,0.018,0.002,0.002,0.003,0.056
19,16.653,16.587,0.066,16.393,0.001,0.051,0.024,0.006,0.031,0.018,0.002,0.002,0.003,0.057
20,17.360,17.292,0.068,17.081,0.001,0.054,0.026,0.007,0.035,0.018,0.002,0.003,0.004,0.061
21,16.284,16.231,0.053,10.138,0.001,0.039,3.526,2.443,0.025,0.013,0.001,0.002,0.003,0.041
22,16.162,16.003,0.158,11.752,0.001,0.042,2.788,1.327,0.024,0.019,0.001,0.002,0.003,0.044
23,16.548,16.484,0.064,16.285,0.001,0.052,0.025,0.007,0.031,0.018,0.002,0.002,0.003,0.057
24,17.422,17.358,0.063,17.163,0.001,0.051,0.025,0.006,0.030,0.018,0.002,0.002,0.003,0.057
25,16.438,16.383,0.055,11.116,0.001,0.041,3.779,1.355,0.026,0.014,0.001,0.003,0.003,0.046
26,16.174,16.104,0.070,15.883,0.001,0.054,0.024,0.007,0.038,0.018,0.002,0.004,0.003,0.070
27,16.736,16.670,0.066,16.468,0.001,0.052,0.025,0.006,0.031,0.018,0.002,0.003,0.004,0.059
28,16.161,16.094,0.067,15.892,0.001,0.052,0.025,0.006,0.032,0.018,0.002,0.003,0.004,0.059
29,16.920,16.863,0.056,11.783,0.001,0.041,3.578,1.373,0.025,0.014,0.002,0.002,0.003,0.044
30,16.565,16.500,0.065,16.299,0.001,0.052,0.025,0.006,0.032,0.018,0.002,0.002,0.003,0.059
31,16.951,16.884,0.067,16.680,0.001,0.052,0.026,0.006,0.033,0.018,0.002,0.003,0.004,0.058
32,16.489,16.430,0.060,16.256,0.001,0.043,0.019,0.006,0.033,0.015,0.002,0.004,0.003,0.048
33,16.574,16.509,0.065,16.306,0.001,0.052,0.026,0.006,0.032,0.021,0.002,0.003,0.003,0.058
34,16.642,16.583,0.059,16.189,0.001,0.046,0.024,0.004,0.033,0.018,0.002,0.003,0.004,0.261
35,16.653,16.586,0.066,16.386,0.001,0.052,0.025,0.007,0.032,0.018,0.002,0.003,0.003,0.058
36,16.646,16.581,0.066,16.378,0.001,0.053,0.025,0.006,0.033,0.018,0.002,0.003,0.003,0.058
37,16.659,16.606,0.054,16.453,0.001,0.038,0.017,0.006,0.026,0.014,0.002,0.002,0.003,0.043
38,16.753,16.687,0.066,16.511,0.001,0.041,0.017,0.006,0.032,0.022,0.002,0.003,0.004,0.048
39,16.543,16.476,0.067,16.253,0.001,0.055,0.025,0.007,0.033,0.033,0.002,0.003,0.003,0.061
40,16.587,16.534,0.053,16.382,0.001,0.038,0.017,0.006,0.026,0.013,0.002,0.002,0.003,0.045
41,16.977,16.911,0.066,16.710,0.001,0.051,0.025,0.006,0.031,0.019,0.002,0.002,0.004,0.060
42,16.672,16.607,0.065,16.401,0.001,0.052,0.026,0.006,0.032,0.018,0.002,0.003,0.003,0.063
43,18.014,17.945,0.069,17.732,0.001,0.053,0.025,0.007,0.036,0.018,0.002,0.004,0.004,0.063
44,15.851,15.777,0.074,15.534,0.001,0.072,0.028,0.012,0.037,0.019,0.002,0.004,0.003,0.065
45,17.491,17.420,0.071,17.196,0.001,0.054,0.025,0.007,0.038,0.024,0.002,0.004,0.003,0.068
46,15.923,15.854,0.069,15.643,0.001,0.052,0.025,0.007,0.037,0.018,0.002,0.003,0.004,0.060
47,15.265,15.187,0.079,9.237,0.001,0.053,4.000,1.737,0.051,0.028,0.003,0.005,0.005,0.067
48,17.155,17.085,0.070,16.858,0.001,0.053,0.024,0.007,0.035,0.021,0.002,0.003,0.003,0.077
49,16.467,16.397,0.070,16.185,0.001,0.058,0.029,0.008,0.029,0.016,0.002,0.003,0.003,0.063
50,16.221,16.152,0.068,15.945,0.001,0.054,0.025,0.007,0.034,0.019,0.002,0.003,0.003,0.060
51,16.166,16.041,0.124,15.789,0.002,0.064,0.026,0.010,0.045,0.024,0.003,0.005,0.004,0.070
52,17.141,17.076,0.065,16.872,0.001,0.052,0.025,0.006,0.033,0.018,0.002,0.003,0.004,0.059
53,15.937,15.872,0.065,15.673,0.001,0.051,0.025,0.006,0.032,0.018,0.002,0.003,0.004,0.058
54,17.976,17.911,0.065,17.713,0.001,0.050,0.025,0.006,0.033,0.018,0.002,0.003,0.004,0.057
55,15.364,15.307,0.057,15.145,0.001,0.040,0.017,0.006,0.032,0.014,0.002,0.003,0.003,0.045
56,16.874,16.808,0.065,16.608,0.001,0.051,0.025,0.006,0.033,0.018,0.002,0.002,0.003,0.059
57,16.324,16.257,0.067,16.049,0.001,0.053,0.025,0.007,0.033,0.019,0.002,0.003,0.004,0.061
58,16.773,16.707,0.066,16.503,0.001,0.053,0.025,0.007,0.033,0.019,0.002,0.002,0.004,0.059
59,16.786,16.721,0.065,16.523,0.001,0.052,0.025,0.006,0.031,0.018,0.002,0.002,0.004,0.057
60,16.453,16.387,0.066,16.171,0.001,0.052,0.025,0.006,0.047,0.019,0.002,0.002,0.003,0.059
61,17.412,17.345,0.066,17.140,0.001,0.053,0.025,0.006,0.032,0.019,0.002,0.002,0.004,0.061
62,15.698,15.631,0.067,15.425,0.001,0.052,0.025,0.007,0.035,0.018,0.002,0.002,0.004,0.060
63,16.480,16.417,0.063,16.219,0.001,0.051,0.025,0.006,0.031,0.018,0.002,0.002,0.003,0.058
64,16.853,16.791,0.062,16.593,0.001,0.050,0.025,0.007,0.032,0.018,0.002,0.002,0.003,0.058
65,16.470,16.404,0.066,16.206,0.001,0.050,0.025,0.006,0.032,0.018,0.002,0.002,0.004,0.058
66,16.589,16.526,0.063,16.331,0.001,0.052,0.025,0.006,0.030,0.018,0.002,0.002,0.004,0.057
67,16.681,16.617,0.064,16.423,0.001,0.050,0.025,0.006,0.029,0.018,0.002,0.002,0.004,0.057
68,16.685,16.620,0.065,16.424,0.001,0.049,0.025,0.006,0.031,0.018,0.002,0.002,0.004,0.058
69,16.898,16.831,0.067,16.629,0.001,0.053,0.025,0.006,0.032,0.018,0.003,0.002,0.004,0.060
70,16.557,16.491,0.066,16.272,0.001,0.054,0.026,0.007,0.034,0.019,0.002,0.003,0.004,0.070
71,16.399,16.335,0.064,16.134,0.001,0.051,0.025,0.006,0.032,0.018,0.002,0.002,0.003,0.059
72,16.669,16.606,0.063,16.410,0.001,0.051,0.025,0.006,0.031,0.018,0.002,0.002,0.004,0.056
73,16.531,16.466,0.065,16.274,0.001,0.050,0.025,0.006,0.030,0.018,0.002,0.002,0.003,0.056
74,16.768,16.688,0.079,16.494,0.001,0.051,0.025,0.006,0.030,0.018,0.002,0.002,0.004,0.057
75,16.424,16.359,0.065,16.163,0.001,0.051,0.025,0.006,0.030,0.018,0.002,0.002,0.003,0.059
76,16.655,16.590,0.066,16.395,0.001,0.051,0.025,0.007,0.030,0.018,0.002,0.002,0.003,0.057
77,16.566,16.501,0.065,16.305,0.001,0.052,0.025,0.006,0.030,0.018,0.002,0.002,0.003,0.058
78,16.718,16.656,0.062,16.465,0.001,0.050,0.025,0.005,0.029,0.018,0.002,0.002,0.003,0.057
79,16.648,16.585,0.063,16.388,0.001,0.052,0.025,0.006,0.030,0.018,0.002,0.002,0.003,0.059
80,16.590,16.526,0.063,16.329,0.001,0.052,0.025,0.006,0.030,0.019,0.002,0.002,0.004,0.058
81,16.504,16.441,0.063,16.246,0.001,0.050,0.025,0.006,0.030,0.018,0.002,0.002,0.003,0.057
82,17.079,17.015,0.064,16.821,0.001,0.051,0.024,0.006,0.030,0.018,0.002,0.001,0.003,0.058
83,16.316,16.249,0.067,16.041,0.001,0.052,0.025,0.007,0.035,0.019,0.002,0.003,0.004,0.061
84,16.552,16.487,0.065,16.291,0.001,0.051,0.025,0.006,0.031,0.018,0.002,0.003,0.003,0.057
85,16.601,16.537,0.065,16.340,0.001,0.051,0.025,0.006,0.030,0.018,0.002,0.002,0.004,0.058
86,16.659,16.596,0.063,16.402,0.001,0.050,0.025,0.006,0.029,0.018,0.002,0.002,0.003,0.058
87,16.436,16.372,0.064,16.177,0.001,0.051,0.025,0.006,0.029,0.018,0.002,0.002,0.004,0.058
88,16.917,16.852,0.065,16.655,0.001,0.050,0.025,0.006,0.031,0.019,0.002,0.002,0.003,0.058
89,16.599,16.533,0.066,16.336,0.001,0.052,0.025,0.006,0.030,0.019,0.002,0.002,0.003,0.058
90,16.749,16.680,0.069,15.901,0.002,0.617,0.029,0.009,0.032,0.021,0.002,0.002,0.003,0.061
91,16.566,16.500,0.066,16.296,0.001,0.055,0.025,0.007,0.030,0.018,0.002,0.002,0.004,0.062
92,16.516,16.452,0.064,16.253,0.001,0.052,0.025,0.007,0.031,0.019,0.002,0.002,0.003,0.058
93,16.510,16.447,0.063,16.254,0.001,0.051,0.024,0.006,0.030,0.018,0.002,0.001,0.004,0.056
94,16.927,16.857,0.070,16.379,0.002,0.061,0.030,0.006,0.030,0.019,0.002,0.002,0.004,0.323
95,18.346,18.297,0.049,18.144,0.000,0.033,0.018,0.002,0.033,0.016,0.002,0.003,0.003,0.044
96,14.841,14.772,0.069,14.570,0.001,0.050,0.025,0.007,0.032,0.014,0.002,0.003,0.003,0.065
97,16.564,16.498,0.066,16.296,0.001,0.052,0.025,0.007,0.032,0.019,0.002,0.002,0.004,0.059
98,16.611,16.547,0.065,16.353,0.001,0.050,0.025,0.006,0.030,0.018,0.002,0.002,0.004,0.056
99,16.468,16.405,0.063,16.212,0.001,0.050,0.024,0.006,0.031,0.018,0.002,0.002,0.004,0.057
100,16.674,16.611,0.063,16.419,0.001,0.049,0.025,0.006,0.030,0.018,0.002,0.002,0.004,0.056
101,16.639,16.576,0.063,16.381,0.001,0.051,0.025,0.006,0.030,0.018,0.002,0.002,0.004,0.058
102,16.429,16.366,0.063,16.174,0.001,0.050,0.025,0.006,0.031,0.018,0.002,0.002,0.003,0.056
103,16.684,16.621,0.064,16.424,0.001,0.051,0.025,0.007,0.030,0.018,0.002,0.002,0.004,0.057
104,17.265,17.198,0.067,16.989,0.001,0.053,0.025,0.007,0.034,0.019,0.002,0.002,0.004,0.062
105,16.733,16.668,0.066,16.467,0.001,0.051,0.025,0.006,0.033,0.018,0.002,0.002,0.004,0.059
106,16.248,16.184,0.064,15.976,0.001,0.052,0.025,0.006,0.034,0.018,0.002,0.002,0.003,0.066
107,16.541,16.475,0.066,16.268,0.001,0.053,0.025,0.006,0.037,0.018,0.002,0.002,0.003,0.061
108,17.250,17.180,0.070,16.951,0.001,0.056,0.025,0.007,0.053,0.019,0.002,0.003,0.004,0.058
109,16.125,16.066,0.059,15.896,0.001,0.041,0.019,0.006,0.032,0.015,0.002,0.004,0.003,0.048
110,16.496,16.434,0.062,16.236,0.001,0.050,0.023,0.007,0.032,0.018,0.002,0.003,0.003,0.059
111,16.370,16.305,0.065,16.103,0.001,0.052,0.025,0.007,0.032,0.019,0.002,0.002,0.004,0.059
112,16.621,16.556,0.065,16.358,0.001,0.051,0.025,0.006,0.031,0.018,0.002,0.002,0.004,0.059
113,16.631,16.567,0.064,16.372,0.001,0.050,0.025,0.006,0.030,0.018,0.002,0.002,0.003,0.058
114,17.038,16.974,0.064,16.780,0.001,0.050,0.025,0.006,0.030,0.018,0.002,0.002,0.003,0.058
115,16.290,16.224,0.066,16.027,0.001,0.051,0.025,0.006,0.030,0.019,0.002,0.002,0.004,0.058
116,16.590,16.525,0.065,16.322,0.001,0.052,0.025,0.006,0.034,0.018,0.002,0.002,0.004,0.060
117,16.438,16.373,0.064,16.176,0.001,0.051,0.025,0.006,0.031,0.018,0.002,0.002,0.004,0.059
118,16.788,16.724,0.064,16.531,0.001,0.050,0.025,0.007,0.029,0.018,0.002,0.002,0.004,0.056
119,16.645,16.581,0.063,16.383,0.001,0.051,0.024,0.006,0.032,0.018,0.002,0.003,0.003,0.058
120,16.763,16.697,0.066,16.486,0.001,0.053,0.025,0.006,0.041,0.018,0.002,0.002,0.003,0.059
121,16.587,16.522,0.065,16.320,0.001,0.051,0.024,0.006,0.036,0.018,0.002,0.002,0.004,0.059
122,16.775,16.712,0.063,16.506,0.001,0.051,0.025,0.006,0.039,0.017,0.002,0.002,0.003,0.059
123,16.183,16.116,0.066,15.910,0.001,0.052,0.025,0.006,0.033,0.018,0.002,0.003,0.003,0.064
124,16.588,16.524,0.064,16.321,0.001,0.051,0.025,0.006,0.037,0.018,0.002,0.002,0.004,0.058
125,16.576,16.514,0.062,16.318,0.001,0.050,0.025,0.006,0.032,0.018,0.002,0.002,0.003,0.057
126,16.472,16.412,0.060,16.225,0.001,0.048,0.024,0.005,0.030,0.017,0.002,0.002,0.004,0.054
127,16.781,16.719,0.062,16.527,0.001,0.049,0.024,0.006,0.032,0.017,0.002,0.002,0.004,0.055
128,16.786,16.723,0.064,16.526,0.001,0.050,0.024,0.006,0.034,0.018,0.002,0.002,0.003,0.057
129,16.413,16.349,0.064,16.153,0.001,0.050,0.024,0.006,0.033,0.018,0.002,0.002,0.004,0.057
130,16.924,16.860,0.064,16.668,0.001,0.050,0.024,0.005,0.031,0.017,0.002,0.002,0.004,0.056
131,16.800,16.738,0.062,16.539,0.001,0.050,0.026,0.006,0.034,0.018,0.002,0.002,0.004,0.057
132,16.526,16.461,0.066,16.259,0.001,0.050,0.024,0.007,0.037,0.018,0.002,0.002,0.003,0.059
133,16.973,16.904,0.069,16.703,0.001,0.054,0.025,0.007,0.032,0.017,0.002,0.002,0.004,0.057
134,16.309,16.235,0.073,16.006,0.001,0.058,0.025,0.006,0.051,0.018,0.002,0.004,0.004,0.060
135,16.632,16.566,0.066,16.350,0.001,0.059,0.026,0.006,0.039,0.019,0.002,0.002,0.004,0.058
136,16.587,16.513,0.074,16.283,0.001,0.060,0.026,0.007,0.041,0.018,0.002,0.002,0.004,0.070
137,16.663,16.597,0.066,16.394,0.001,0.051,0.024,0.006,0.038,0.021,0.002,0.002,0.003,0.055
138,16.551,16.486,0.065,16.276,0.001,0.052,0.025,0.006,0.035,0.024,0.002,0.002,0.003,0.059
139,16.734,16.660,0.074,16.435,0.001,0.058,0.028,0.006,0.035,0.023,0.002,0.002,0.003,0.067
140,17.480,17.412,0.068,17.197,0.001,0.055,0.025,0.007,0.039,0.018,0.002,0.002,0.004,0.063
141,16.365,16.201,0.164,6.244,0.001,0.045,6.246,3.297,0.031,0.123,0.002,0.004,0.128,0.080
142,16.043,15.982,0.060,15.831,0.001,0.042,0.018,0.004,0.024,0.013,0.002,0.002,0.003,0.044
143,16.562,16.483,0.079,16.253,0.001,0.055,0.025,0.006,0.055,0.018,0.002,0.004,0.004,0.060
144,16.489,16.420,0.068,12.094,0.001,0.053,2.474,1.670,0.043,0.020,0.002,0.003,0.003,0.059
145,17.431,17.367,0.065,17.155,0.001,0.053,0.025,0.006,0.035,0.018,0.002,0.002,0.003,0.067
146,16.829,16.758,0.072,16.537,0.001,0.058,0.026,0.007,0.035,0.018,0.002,0.004,0.004,0.067
147,15.567,15.492,0.075,15.241,0.001,0.053,0.025,0.006,0.061,0.024,0.002,0.003,0.004,0.071
148,16.886,16.820,0.066,16.617,0.001,0.052,0.025,0.006,0.033,0.018,0.002,0.002,0.004,0.060
149,16.599,16.537,0.061,12.205,0.001,0.042,2.713,1.477,0.030,0.014,0.002,0.002,0.003,0.050
150,16.671,16.597,0.074,16.380,0.001,0.056,0.027,0.007,0.038,0.018,0.002,0.002,0.004,0.063
151,16.473,16.402,0.070,16.177,0.001,0.052,0.029,0.009,0.040,0.022,0.002,0.003,0.003,0.064
152,16.588,16.522,0.066,16.301,0.001,0.056,0.025,0.007,0.045,0.018,0.002,0.002,0.004,0.061
153,16.500,16.433,0.067,16.224,0.001,0.059,0.026,0.007,0.031,0.018,0.002,0.002,0.003,0.061
154,16.918,16.849,0.069,16.441,0.001,0.054,0.021,0.004,0.035,0.020,0.002,0.002,0.004,0.265
155,16.759,16.694,0.065,16.481,0.001,0.049,0.025,0.007,0.044,0.018,0.004,0.002,0.003,0.059
156,22.888,22.830,0.059,1.239,0.001,0.042,20.043,1.406,0.031,0.014,0.002,0.002,0.003,0.049
157,10.026,9.954,0.072,9.649,0.001,0.126,0.032,0.009,0.043,0.018,0.002,0.003,0.003,0.066
158,16.705,16.638,0.067,16.415,0.001,0.058,0.029,0.008,0.042,0.020,0.002,0.002,0.004,0.059
159,17.342,17.276,0.066,17.051,0.001,0.054,0.025,0.007,0.040,0.018,0.002,0.002,0.003,0.073
160,15.854,15.783,0.070,15.565,0.003,0.058,0.027,0.007,0.037,0.018,0.002,0.003,0.003,0.061
161,17.392,17.320,0.072,17.110,0.001,0.053,0.025,0.006,0.033,0.018,0.002,0.004,0.003,0.064
162,46.505,46.441,0.064,1.561,0.001,0.044,38.900,5.834,0.033,0.014,0.002,0.002,0.003,0.048
163,3.812,3.720,0.091,3.365,0.003,0.068,0.027,0.011,0.079,0.037,0.048,0.004,0.004,0.075
164,17.065,17.006,0.060,16.805,0.001,0.044,0.019,0.005,0.034,0.028,0.002,0.012,0.004,0.050
165,15.806,15.765,0.041,15.615,0.001,0.036,0.021,0.004,0.021,0.021,0.001,0.004,0.002,0.041
166,17.229,17.181,0.048,17.026,0.001,0.035,0.018,0.004,0.021,0.020,0.001,0.004,0.002,0.050
