Performance Profiler Log
Started: 20260412_032500
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,150592.670,30.448,150562.222,29.451,0.004,0.501,0.372,0.005,0.045,0.001,0.001,0.003,0.003,0.062
1,32.056,31.968,0.087,30.664,0.005,0.644,0.495,0.007,0.057,0.001,0.002,0.003,0.004,0.087
2,33.151,33.066,0.085,31.770,0.006,0.658,0.483,0.007,0.053,0.001,0.002,0.003,0.004,0.080
3,33.335,33.261,0.074,32.371,0.005,0.413,0.332,0.006,0.059,0.001,0.002,0.003,0.003,0.067
4,32.950,32.864,0.086,31.563,0.006,0.654,0.487,0.007,0.054,0.001,0.002,0.003,0.004,0.084
5,33.153,33.067,0.086,31.731,0.006,0.683,0.493,0.006,0.056,0.001,0.002,0.003,0.004,0.081
6,33.513,33.427,0.086,32.130,0.006,0.648,0.489,0.007,0.057,0.001,0.002,0.003,0.004,0.081
7,33.136,33.048,0.089,31.732,0.006,0.653,0.502,0.007,0.055,0.001,0.002,0.003,0.004,0.084
8,33.584,33.495,0.089,32.165,0.006,0.670,0.496,0.007,0.057,0.001,0.002,0.003,0.004,0.084
9,29.865,29.783,0.082,28.741,0.006,0.504,0.390,0.006,0.061,0.001,0.002,0.004,0.003,0.063
10,5.149,4.942,0.206,3.549,0.006,0.657,0.547,0.021,0.059,0.001,0.002,0.004,0.004,0.094
11,14.267,14.193,0.074,13.140,0.004,0.516,0.391,0.007,0.063,0.001,0.002,0.004,0.004,0.062
12,16.289,16.238,0.050,15.294,0.002,0.486,0.370,0.003,0.025,0.000,0.001,0.002,0.002,0.053
13,26.363,26.317,0.046,25.400,0.002,0.469,0.362,0.003,0.026,0.000,0.001,0.001,0.002,0.052
14,39.848,39.753,0.095,3.353,0.003,0.520,7.724,28.057,0.031,0.001,0.002,0.003,0.002,0.058
15,2.639,2.573,0.066,1.594,0.005,0.495,0.360,0.006,0.045,0.001,0.002,0.002,0.003,0.062
16,35.247,35.210,0.037,34.333,0.002,0.448,0.354,0.002,0.019,0.000,0.001,0.000,0.002,0.050
17,41.002,40.907,0.096,10.158,0.006,0.641,10.504,19.440,0.053,0.001,0.002,0.003,0.004,0.094
18,46.980,46.871,0.109,12.768,0.005,0.675,6.003,27.258,0.057,0.001,0.002,0.003,0.004,0.095
19,29.830,29.722,0.108,3.279,0.006,0.538,3.596,22.159,0.057,0.001,0.002,0.004,0.003,0.076
20,11.228,11.148,0.081,10.090,0.006,0.515,0.392,0.005,0.058,0.001,0.003,0.003,0.003,0.071
21,35.152,35.064,0.088,33.740,0.006,0.658,0.487,0.006,0.051,0.001,0.002,0.002,0.004,0.107
22,36.462,36.344,0.118,3.022,0.006,0.649,8.189,24.315,0.056,0.001,0.002,0.004,0.003,0.097
23,29.506,29.416,0.090,28.074,0.006,0.647,0.519,0.007,0.057,0.001,0.002,0.003,0.004,0.097
24,40.382,40.283,0.099,38.937,0.022,0.655,0.489,0.007,0.065,0.001,0.002,0.003,0.004,0.098
25,115.933,102.786,13.146,33.389,0.006,0.647,11.716,56.803,0.059,0.001,0.002,0.004,0.004,0.156
26,130.982,130.693,0.289,16.892,0.006,0.593,18.266,94.457,0.071,0.001,0.004,0.007,0.004,0.392
27,30.734,30.602,0.132,18.157,0.007,0.688,11.560,0.009,0.084,0.001,0.002,0.005,0.004,0.085
28,23.184,23.000,0.184,6.067,0.009,0.728,15.948,0.012,0.088,0.001,0.005,0.005,0.006,0.130
29,124.913,124.786,0.127,5.924,0.005,0.616,12.352,105.644,0.114,0.001,0.002,0.025,0.004,0.099
30,37.844,37.716,0.128,2.774,0.006,0.776,10.016,23.943,0.071,0.001,0.002,0.003,0.005,0.118
31,17.800,17.710,0.090,3.273,0.004,0.502,13.797,0.014,0.046,0.001,0.002,0.002,0.003,0.067
32,16.283,16.194,0.089,3.621,0.006,0.547,11.888,0.004,0.051,0.001,0.001,0.002,0.003,0.071
33,10.913,10.824,0.089,6.600,0.004,0.533,3.533,0.004,0.062,0.003,0.002,0.003,0.006,0.073
34,33.458,33.361,0.097,31.863,0.007,0.751,0.550,0.007,0.061,0.001,0.002,0.004,0.004,0.111
35,33.151,33.042,0.109,31.476,0.007,0.763,0.602,0.009,0.060,0.001,0.002,0.004,0.005,0.111
36,33.751,33.673,0.078,32.699,0.006,0.471,0.352,0.006,0.048,0.001,0.002,0.002,0.003,0.083
37,36.806,36.684,0.121,2.526,0.008,0.744,10.988,22.233,0.066,0.001,0.002,0.004,0.004,0.110
38,36.932,36.857,0.075,35.773,0.005,0.548,0.387,0.006,0.049,0.001,0.003,0.002,0.004,0.077
39,35.774,35.651,0.123,2.405,0.007,0.784,8.825,23.443,0.064,0.001,0.004,0.005,0.004,0.109
40,23.345,23.270,0.075,22.136,0.005,0.563,0.425,0.006,0.053,0.001,0.003,0.002,0.003,0.073
41,32.967,32.861,0.106,31.482,0.006,0.693,0.501,0.008,0.067,0.001,0.002,0.004,0.004,0.094
42,33.339,33.240,0.099,31.789,0.008,0.729,0.535,0.008,0.068,0.001,0.002,0.003,0.004,0.093
43,34.240,34.133,0.107,32.617,0.007,0.752,0.567,0.007,0.075,0.001,0.002,0.003,0.004,0.098
44,32.307,32.207,0.100,30.879,0.006,0.664,0.500,0.006,0.060,0.001,0.002,0.003,0.004,0.084
45,32.529,32.437,0.092,31.102,0.006,0.680,0.494,0.007,0.057,0.001,0.002,0.003,0.004,0.082
46,33.593,33.504,0.089,32.129,0.006,0.710,0.502,0.007,0.057,0.001,0.002,0.003,0.004,0.084
47,33.883,33.794,0.089,32.458,0.006,0.667,0.502,0.007,0.056,0.001,0.002,0.002,0.004,0.088
48,33.111,33.019,0.092,31.708,0.006,0.675,0.464,0.007,0.060,0.001,0.002,0.004,0.004,0.087
49,33.017,32.927,0.090,31.564,0.006,0.672,0.524,0.008,0.057,0.001,0.002,0.003,0.004,0.086
50,33.647,33.560,0.087,32.244,0.006,0.655,0.497,0.007,0.055,0.001,0.002,0.003,0.004,0.087
51,33.557,33.485,0.072,32.478,0.005,0.493,0.379,0.006,0.048,0.001,0.002,0.002,0.003,0.067
52,35.584,35.483,0.102,31.825,0.006,1.577,1.614,0.009,0.058,0.001,0.002,0.003,0.004,0.384
53,30.994,30.903,0.091,29.559,0.006,0.660,0.512,0.007,0.057,0.001,0.002,0.004,0.004,0.091
