Performance Profiler Log
Started: 20260412_032041
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,488554136.065,29.003,488554107.062,28.403,0.004,0.297,0.205,0.009,0.034,0.001,0.002,0.003,0.000,0.047
1,33.091,33.029,0.061,32.469,0.003,0.284,0.191,0.008,0.027,0.001,0.001,0.001,0.002,0.042
2,32.939,32.873,0.065,32.280,0.003,0.286,0.212,0.008,0.031,0.001,0.002,0.003,0.002,0.046
3,33.968,33.911,0.058,33.204,0.003,0.378,0.234,0.010,0.027,0.001,0.002,0.002,0.002,0.047
4,32.632,32.572,0.060,32.006,0.003,0.276,0.199,0.008,0.030,0.001,0.001,0.001,0.002,0.044
5,33.307,33.250,0.056,32.696,0.003,0.272,0.194,0.009,0.029,0.001,0.002,0.002,0.002,0.041
6,33.865,33.807,0.057,33.240,0.003,0.277,0.199,0.008,0.029,0.001,0.002,0.002,0.002,0.043
7,32.549,32.486,0.062,31.829,0.003,0.278,0.294,0.009,0.026,0.001,0.002,0.001,0.002,0.042
8,33.006,32.947,0.059,32.397,0.004,0.274,0.189,0.008,0.028,0.001,0.002,0.002,0.003,0.042
9,32.809,32.757,0.052,32.229,0.003,0.266,0.185,0.007,0.025,0.001,0.001,0.001,0.002,0.037
10,34.352,34.303,0.049,33.785,0.002,0.263,0.185,0.006,0.022,0.001,0.001,0.001,0.002,0.035
11,32.631,32.576,0.055,32.040,0.003,0.268,0.185,0.008,0.026,0.001,0.002,0.001,0.002,0.040
12,33.093,33.058,0.035,32.566,0.001,0.251,0.180,0.005,0.016,0.000,0.001,0.001,0.001,0.036
13,32.671,32.636,0.035,32.153,0.001,0.250,0.179,0.005,0.015,0.000,0.001,0.001,0.001,0.030
14,33.968,33.938,0.031,33.458,0.001,0.252,0.178,0.005,0.012,0.000,0.001,0.000,0.001,0.029
15,35.290,35.235,0.055,34.683,0.004,0.274,0.189,0.009,0.025,0.001,0.002,0.001,0.002,0.046
16,37.541,36.498,1.044,35.228,0.006,0.662,0.455,0.015,0.026,0.001,0.002,0.001,0.002,0.100
17,27.195,27.135,0.060,26.583,0.003,0.273,0.191,0.009,0.028,0.001,0.002,0.001,0.003,0.042
18,34.261,34.205,0.057,33.658,0.003,0.270,0.185,0.008,0.026,0.001,0.002,0.001,0.002,0.049
19,36.911,36.821,0.090,36.136,0.005,0.330,0.185,0.009,0.046,0.001,0.003,0.002,0.004,0.101
20,29.998,29.942,0.056,29.403,0.003,0.266,0.190,0.009,0.026,0.001,0.002,0.001,0.002,0.041
21,33.826,33.769,0.057,33.227,0.003,0.274,0.184,0.008,0.025,0.001,0.002,0.001,0.002,0.042
22,33.733,33.676,0.057,33.135,0.003,0.272,0.186,0.008,0.026,0.001,0.002,0.001,0.002,0.040
23,32.697,32.638,0.059,32.077,0.003,0.282,0.195,0.008,0.026,0.001,0.002,0.001,0.003,0.041
24,33.170,33.112,0.058,32.291,0.003,0.303,0.196,0.009,0.026,0.001,0.002,0.001,0.002,0.279
25,33.345,33.287,0.057,32.733,0.003,0.278,0.191,0.009,0.026,0.001,0.002,0.001,0.003,0.042
26,33.239,33.181,0.058,32.595,0.003,0.278,0.205,0.008,0.035,0.001,0.002,0.001,0.002,0.051
27,33.314,33.257,0.057,32.694,0.003,0.275,0.194,0.008,0.034,0.001,0.002,0.001,0.003,0.041
28,32.455,32.397,0.058,31.842,0.003,0.276,0.191,0.009,0.028,0.001,0.002,0.001,0.002,0.042
