Performance Profiler Log
Started: 20260412_154820
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,533412431.064,130.234,533412300.830,6.635,0.005,0.291,123.069,0.005,0.037,0.032,0.074,0.029,0.000,0.057
1,238.162,238.081,0.081,6.051,0.004,0.296,231.462,0.007,0.050,0.030,0.085,0.035,0.004,0.057
2,214.443,214.342,0.101,5.833,0.005,0.294,207.917,0.006,0.049,0.032,0.112,0.031,0.006,0.057
3,199.173,199.078,0.095,6.108,0.004,0.308,192.242,0.007,0.084,0.098,0.126,0.037,0.005,0.060
4,34.118,33.951,0.167,10.562,0.003,0.302,21.858,0.008,0.103,0.059,0.114,0.041,0.002,0.898
5,133.321,133.213,0.108,6.405,0.006,0.316,126.285,0.008,0.048,0.033,0.002,0.047,0.003,0.062
6,121.338,121.247,0.091,6.033,0.005,0.289,114.668,0.008,0.040,0.027,0.084,0.034,0.003,0.056
7,123.462,123.368,0.094,5.784,0.006,0.310,116.985,0.009,0.060,0.032,0.089,0.035,0.002,0.056
8,124.480,124.412,0.068,6.033,0.004,0.297,117.812,0.005,0.048,0.031,0.086,0.039,0.003,0.055
9,122.851,122.775,0.076,5.731,0.004,0.288,116.440,0.005,0.050,0.042,0.107,0.035,0.002,0.069
10,121.799,121.713,0.086,5.789,0.004,0.292,115.310,0.006,0.062,0.042,0.094,0.034,0.026,0.053
11,122.571,122.492,0.079,5.922,0.004,0.296,115.946,0.005,0.056,0.048,0.120,0.035,0.004,0.054
12,123.386,123.303,0.083,5.711,0.004,0.276,117.066,0.005,0.041,0.028,0.085,0.036,0.003,0.047
13,122.272,122.197,0.074,6.246,0.004,0.286,115.132,0.005,0.046,0.034,0.084,0.031,0.003,0.326
14,125.957,125.864,0.093,5.046,0.003,0.308,120.171,0.005,0.066,0.036,0.134,0.036,0.003,0.057
15,121.107,121.024,0.084,6.180,0.005,0.315,114.154,0.005,0.095,0.051,0.113,0.038,0.007,0.062
16,122.044,121.955,0.089,6.815,0.004,0.302,114.579,0.004,0.047,0.031,0.088,0.031,0.007,0.046
17,236.263,236.180,0.083,6.662,0.003,0.317,125.749,103.200,0.043,0.031,0.081,0.036,0.002,0.056
18,102.922,102.811,0.111,7.152,0.003,0.296,17.224,77.864,0.041,0.037,0.102,0.032,0.003,0.056
19,99.257,99.126,0.131,7.265,0.006,0.417,18.589,72.549,0.048,0.039,0.100,0.044,0.004,0.065
20,74.264,74.170,0.093,9.331,0.005,0.399,0.695,63.516,0.051,0.039,0.003,0.045,0.004,0.083
21,90.699,90.595,0.104,7.497,0.005,0.522,0.664,81.282,0.052,0.057,0.101,0.044,0.003,0.368
22,148.334,148.231,0.102,8.541,0.005,0.619,0.712,138.065,0.085,0.052,0.002,0.063,0.004,0.084
23,187.103,187.003,0.100,8.893,0.005,0.427,0.377,176.923,0.046,0.051,0.150,0.048,0.003,0.078
24,37.097,36.986,0.111,35.270,0.004,0.635,0.593,0.009,0.067,0.056,0.190,0.050,0.004,0.110
25,49.682,49.606,0.076,48.592,0.003,0.479,0.327,0.005,0.044,0.042,0.001,0.042,0.003,0.068
26,188.820,187.794,1.025,22.005,0.004,0.471,96.361,68.586,0.053,0.043,0.001,0.179,0.003,0.088
27,226.609,226.458,0.151,8.274,0.004,0.436,70.745,146.556,0.095,0.058,0.146,0.050,0.009,0.086
28,86.418,86.279,0.139,7.866,0.005,0.553,77.409,0.009,0.073,0.053,0.155,0.040,0.006,0.110
29,45.481,45.366,0.115,43.682,0.006,0.544,0.350,0.007,0.072,0.053,0.002,0.058,0.005,0.587
