Performance Profiler Log
Started: 20260413_012825
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,CU_ManagerUpdate_ms,CU_Eviction_ms,CU_SyncLoad_ms,CU_SyncWorldgen_ms,CU_SyncMesh_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms,ChunksEvicted,ChunksSyncGen,ChunksSyncLoaded,DesiredCount,ResidentCount
StartGraphics: preset=high display=borderless grid=9 render_distance=4 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,568219134.584,14.483,568219120.101,14.316,0.002,0.001,0.000,0.000,0.000,0.000,0.044,0.018,0.004,0.025,0.024,0.002,0.002,0.000,0.048,0,0,0,81,75
1,16.892,16.836,0.056,16.679,0.001,0.001,0.000,0.000,0.000,0.000,0.038,0.016,0.007,0.028,0.014,0.002,0.002,0.003,0.047,0,0,0,81,75
2,16.628,16.570,0.059,12.226,0.002,0.001,0.000,0.000,0.000,0.000,0.038,2.818,1.391,0.028,0.014,0.002,0.003,0.002,0.044,0,0,0,81,75
3,16.040,15.980,0.060,15.811,0.001,0.001,0.000,0.000,0.000,0.000,0.044,0.018,0.005,0.029,0.016,0.001,0.003,0.003,0.049,0,0,0,81,75
4,16.601,16.530,0.070,16.306,0.002,0.001,0.000,0.000,0.000,0.000,0.054,0.024,0.006,0.035,0.026,0.002,0.003,0.004,0.069,0,0,0,81,75
5,15.856,15.690,0.166,9.578,0.002,0.001,0.000,0.000,0.000,0.000,0.044,4.441,1.493,0.035,0.026,0.002,0.004,0.004,0.061,0,0,0,81,75
6,16.135,16.068,0.067,15.863,0.002,0.001,0.000,0.000,0.000,0.000,0.052,0.025,0.007,0.031,0.018,0.002,0.003,0.003,0.063,0,0,0,81,75
7,16.690,16.623,0.068,16.422,0.001,0.001,0.000,0.000,0.000,0.000,0.052,0.024,0.006,0.031,0.018,0.002,0.002,0.003,0.061,0,0,0,81,75
8,16.932,16.866,0.067,16.669,0.001,0.001,0.000,0.000,0.000,0.000,0.049,0.024,0.007,0.030,0.018,0.002,0.002,0.003,0.060,0,0,0,81,75
9,17.062,16.994,0.068,16.794,0.002,0.001,0.000,0.000,0.000,0.000,0.051,0.024,0.006,0.031,0.018,0.002,0.002,0.003,0.061,0,0,0,81,75
10,15.933,15.863,0.070,15.408,0.002,0.001,0.000,0.000,0.000,0.000,0.064,0.028,0.007,0.031,0.018,0.002,0.002,0.003,0.297,0,0,0,81,75
11,17.065,17.001,0.064,16.808,0.001,0.001,0.000,0.000,0.000,0.000,0.051,0.024,0.006,0.030,0.017,0.002,0.002,0.003,0.057,0,0,0,81,75
12,16.038,15.977,0.061,11.564,0.002,0.001,0.000,0.000,0.000,0.000,0.039,2.876,1.411,0.024,0.013,0.002,0.002,0.003,0.042,0,0,0,81,75
13,17.183,17.126,0.057,16.954,0.001,0.001,0.000,0.000,0.000,0.000,0.038,0.016,0.006,0.043,0.018,0.002,0.002,0.002,0.043,0,0,0,81,75
14,16.796,16.707,0.088,16.506,0.001,0.001,0.000,0.000,0.000,0.000,0.052,0.024,0.007,0.032,0.018,0.002,0.002,0.004,0.059,0,0,0,81,75
15,16.647,16.581,0.066,16.382,0.001,0.001,0.000,0.000,0.000,0.000,0.051,0.024,0.006,0.031,0.018,0.002,0.002,0.003,0.061,0,0,0,81,75
16,16.625,16.557,0.068,16.357,0.001,0.001,0.000,0.000,0.000,0.000,0.052,0.024,0.007,0.030,0.018,0.002,0.002,0.003,0.060,0,0,0,81,75
17,16.891,16.822,0.069,16.619,0.001,0.001,0.000,0.000,0.000,0.000,0.052,0.024,0.007,0.031,0.018,0.002,0.002,0.003,0.061,0,0,0,81,75
18,16.245,16.176,0.069,15.968,0.002,0.001,0.000,0.000,0.000,0.000,0.053,0.024,0.006,0.033,0.018,0.002,0.003,0.004,0.064,0,0,0,81,75
19,16.705,16.637,0.068,16.434,0.001,0.001,0.000,0.000,0.000,0.000,0.051,0.024,0.007,0.033,0.018,0.002,0.003,0.003,0.062,0,0,0,81,75
20,16.682,16.615,0.067,16.409,0.001,0.001,0.000,0.000,0.000,0.000,0.053,0.025,0.007,0.032,0.018,0.002,0.002,0.003,0.062,0,0,0,81,75
21,16.503,16.425,0.078,16.220,0.001,0.001,0.000,0.000,0.000,0.000,0.052,0.025,0.007,0.031,0.018,0.002,0.003,0.003,0.063,0,0,0,81,75
22,16.691,16.619,0.072,16.404,0.001,0.001,0.000,0.000,0.000,0.000,0.056,0.026,0.007,0.032,0.018,0.002,0.002,0.003,0.068,0,0,0,81,75
23,16.897,16.831,0.066,16.625,0.001,0.001,0.000,0.000,0.000,0.000,0.053,0.024,0.008,0.034,0.018,0.002,0.003,0.004,0.061,0,0,0,81,75
24,16.555,16.488,0.067,16.269,0.002,0.001,0.000,0.000,0.000,0.000,0.055,0.024,0.007,0.038,0.018,0.002,0.003,0.003,0.067,0,0,0,81,75
