Performance Profiler Log
Started: 20260412_184236
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,543868467.676,58.378,543868409.297,6.088,0.005,0.195,51.960,0.006,0.034,0.026,0.002,0.003,0.000,0.059
1,51.448,51.238,0.210,1.682,0.004,0.254,49.142,0.007,0.035,0.024,0.002,0.003,0.004,0.081
2,30.833,30.614,0.219,1.395,0.006,0.171,28.809,0.007,0.061,0.020,0.002,0.004,0.003,0.136
3,54.266,53.911,0.355,1.321,0.003,0.298,52.197,0.007,0.025,0.012,0.002,0.002,0.003,0.040
4,30.655,30.371,0.284,1.668,0.003,0.189,28.374,0.007,0.043,0.019,0.002,0.002,0.009,0.056
5,62.108,61.891,0.216,1.299,0.005,0.267,60.174,0.010,0.031,0.020,0.004,0.004,0.003,0.075
6,61.133,58.858,2.275,1.762,0.004,0.173,56.747,0.006,0.044,0.035,0.004,0.004,0.006,0.075
7,56.022,55.619,0.403,2.038,0.005,0.620,52.738,0.011,0.037,0.064,0.006,0.003,0.003,0.094
8,50.224,49.978,0.246,1.590,0.005,0.266,47.937,0.010,0.050,0.020,0.004,0.003,0.004,0.089
9,58.242,58.007,0.236,1.839,0.004,0.204,55.838,0.006,0.039,0.014,0.002,0.003,0.003,0.056
10,54.892,54.644,0.248,1.371,0.004,0.282,52.799,0.011,0.058,0.024,0.003,0.006,0.004,0.082
11,55.308,55.098,0.210,1.401,0.003,0.177,53.383,0.007,0.027,0.018,0.004,0.003,0.008,0.065
12,55.295,55.057,0.237,1.486,0.003,0.197,53.232,0.006,0.035,0.024,0.006,0.002,0.009,0.058
13,54.524,54.281,0.243,1.662,0.004,0.184,52.307,0.007,0.027,0.020,0.002,0.002,0.009,0.059
14,56.668,56.365,0.303,1.676,0.006,0.267,54.174,0.011,0.110,0.027,0.002,0.005,0.007,0.079
15,14.165,5.409,8.756,2.840,0.004,0.284,2.080,0.010,0.048,0.024,0.002,0.003,0.004,0.110
16,9.094,4.204,4.890,1.647,0.006,0.207,2.196,0.013,0.027,0.013,0.002,0.002,0.003,0.088
17,9.120,4.195,4.925,1.779,0.004,0.186,2.099,0.007,0.025,0.016,0.001,0.002,0.005,0.071
18,9.599,4.438,5.161,1.660,0.006,0.197,2.416,0.014,0.024,0.015,0.002,0.004,0.003,0.099
19,13.724,6.008,7.716,3.676,0.003,0.194,1.987,0.006,0.035,0.019,0.002,0.003,0.004,0.078
20,15.214,8.407,6.807,5.937,0.004,0.243,2.028,0.006,0.053,0.025,0.002,0.003,0.006,0.100
21,16.424,9.823,6.601,7.144,0.004,0.283,2.219,0.006,0.044,0.018,0.002,0.003,0.005,0.095
22,16.648,10.773,5.876,8.399,0.003,0.189,2.032,0.007,0.046,0.021,0.002,0.003,0.004,0.068
23,16.164,9.960,6.204,7.359,0.003,0.201,2.235,0.005,0.046,0.023,0.003,0.003,0.005,0.077
24,17.565,12.489,5.076,10.166,0.005,0.203,1.976,0.008,0.028,0.015,0.003,0.012,0.005,0.068
25,15.971,9.305,6.666,6.775,0.004,0.280,2.042,0.007,0.055,0.020,0.002,0.004,0.004,0.112
26,16.405,11.442,4.964,9.115,0.003,0.207,1.992,0.007,0.026,0.016,0.002,0.003,0.003,0.068
27,16.806,9.979,6.828,6.994,0.004,0.758,2.043,0.009,0.036,0.021,0.002,0.002,0.005,0.104
28,16.020,9.450,6.570,6.613,0.004,0.255,2.377,0.008,0.037,0.031,0.002,0.003,0.005,0.115
29,17.950,11.035,6.916,8.101,0.004,0.270,2.487,0.011,0.029,0.018,0.002,0.002,0.003,0.109
30,15.881,9.114,6.768,6.431,0.004,0.263,2.225,0.009,0.035,0.019,0.002,0.003,0.003,0.121
31,17.218,10.549,6.669,7.095,0.005,0.253,3.012,0.008,0.036,0.018,0.015,0.003,0.005,0.098
32,16.210,9.111,7.099,5.733,0.004,0.311,2.881,0.009,0.028,0.016,0.002,0.002,0.004,0.120
33,16.262,9.430,6.832,7.042,0.005,0.282,1.937,0.007,0.031,0.019,0.002,0.002,0.003,0.100
34,16.395,10.304,6.091,7.184,0.004,0.280,2.666,0.007,0.029,0.018,0.002,0.002,0.004,0.110
35,16.605,9.634,6.971,6.825,0.004,0.268,2.382,0.010,0.031,0.017,0.002,0.003,0.004,0.089
36,17.399,10.490,6.909,7.540,0.005,0.283,2.472,0.007,0.031,0.023,0.004,0.005,0.004,0.117
37,16.157,11.282,4.875,8.492,0.005,0.212,2.457,0.005,0.025,0.014,0.002,0.004,0.003,0.065
38,16.292,9.328,6.965,6.814,0.003,0.291,2.046,0.007,0.032,0.017,0.002,0.003,0.004,0.109
39,16.562,11.838,4.725,9.410,0.004,0.185,2.116,0.006,0.027,0.014,0.002,0.004,0.003,0.067
40,16.625,11.721,4.903,9.279,0.005,0.189,1.949,0.007,0.025,0.014,0.002,0.002,0.003,0.247
41,16.732,9.898,6.835,7.228,0.004,0.268,2.239,0.008,0.029,0.019,0.004,0.002,0.004,0.093
42,17.096,11.920,5.176,9.575,0.004,0.209,1.995,0.007,0.034,0.018,0.002,0.002,0.003,0.071
43,15.946,8.830,7.117,6.478,0.004,0.278,1.900,0.009,0.030,0.017,0.002,0.003,0.003,0.107
44,16.694,10.035,6.659,7.631,0.006,0.259,1.974,0.008,0.030,0.020,0.002,0.003,0.005,0.098
45,16.894,10.030,6.864,7.731,0.004,0.276,1.865,0.007,0.029,0.017,0.002,0.002,0.004,0.094
46,16.302,9.606,6.695,6.825,0.004,0.252,2.374,0.009,0.029,0.018,0.002,0.002,0.004,0.087
47,85.436,69.522,15.914,1.591,0.005,0.279,67.484,0.011,0.030,0.021,0.002,0.004,0.004,0.091
48,69.537,64.316,5.221,9.870,0.003,0.697,53.569,0.008,0.066,0.018,0.003,0.004,0.004,0.075
49,44.108,38.496,5.611,6.671,0.004,0.193,31.052,0.007,0.030,0.440,0.006,0.003,0.005,0.085
50,59.048,53.455,5.593,2.297,0.005,0.202,50.808,0.005,0.036,0.014,0.002,0.004,0.003,0.079
51,44.016,31.856,12.160,1.817,0.004,0.276,29.576,0.007,0.038,0.015,0.004,0.006,0.003,0.110
52,67.834,63.347,4.488,1.643,0.004,0.186,61.385,0.006,0.032,0.015,0.003,0.004,0.005,0.064
53,65.898,60.414,5.484,2.065,0.005,0.205,57.825,0.005,0.205,0.021,0.003,0.004,0.005,0.072
54,66.101,60.022,6.079,1.701,0.003,0.216,57.925,0.006,0.048,0.021,0.003,0.005,0.004,0.089
55,65.204,60.373,4.832,1.802,0.004,0.184,58.222,0.006,0.046,0.024,0.003,0.006,0.005,0.070
56,67.170,61.247,5.923,1.764,0.004,0.216,59.129,0.007,0.032,0.020,0.002,0.003,0.004,0.067
57,59.705,54.669,5.036,1.255,0.003,0.199,53.064,0.005,0.039,0.024,0.003,0.004,0.005,0.066
58,64.081,59.583,4.498,1.742,0.005,0.245,57.386,0.007,0.061,0.023,0.006,0.007,0.003,0.096
59,63.147,57.388,5.758,2.078,0.004,0.250,54.885,0.007,0.040,0.019,0.003,0.004,0.005,0.093
60,59.948,52.942,7.006,2.014,0.004,0.255,50.467,0.006,0.049,0.025,0.002,0.008,0.007,0.103
61,59.082,53.136,5.946,1.673,0.004,0.262,50.679,0.008,0.047,0.019,0.003,0.006,0.005,0.430
62,59.163,52.680,6.483,1.730,0.006,0.268,50.518,0.007,0.031,0.018,0.002,0.004,0.006,0.088
63,11.126,4.157,6.969,1.517,0.004,0.251,2.214,0.015,0.033,0.022,0.004,0.005,0.004,0.089
64,7.583,3.538,4.044,1.327,0.004,0.194,1.866,0.005,0.035,0.016,0.004,0.005,0.005,0.076
65,8.041,3.631,4.411,1.397,0.002,0.179,1.956,0.004,0.019,0.011,0.001,0.002,0.003,0.056
66,7.992,3.392,4.600,1.269,0.003,0.188,1.810,0.005,0.025,0.015,0.001,0.002,0.004,0.068
67,12.347,7.354,4.993,5.308,0.003,0.177,1.762,0.004,0.020,0.012,0.001,0.002,0.003,0.063
68,16.569,10.397,6.172,7.695,0.004,0.235,2.315,0.006,0.026,0.017,0.002,0.003,0.004,0.089
69,16.753,9.798,6.956,7.181,0.004,0.253,2.206,0.008,0.030,0.020,0.002,0.003,0.004,0.089
70,15.880,9.787,6.093,6.878,0.004,0.992,1.749,0.007,0.030,0.018,0.002,0.003,0.003,0.102
71,16.386,10.366,6.020,7.829,0.003,0.245,2.127,0.010,0.029,0.024,0.002,0.003,0.004,0.093
72,16.756,10.507,6.249,8.354,0.004,0.250,1.753,0.007,0.030,0.017,0.002,0.002,0.004,0.084
73,16.183,9.317,6.866,6.534,0.004,0.262,2.336,0.008,0.032,0.024,0.002,0.003,0.004,0.111
74,16.749,10.452,6.297,8.283,0.004,0.263,1.728,0.007,0.035,0.024,0.002,0.003,0.004,0.100
75,16.409,11.601,4.808,9.640,0.004,0.179,1.655,0.006,0.026,0.013,0.002,0.002,0.003,0.071
76,16.896,10.919,5.977,8.350,0.004,0.259,2.145,0.008,0.030,0.034,0.002,0.003,0.004,0.083
77,15.517,9.726,5.792,7.306,0.004,0.256,1.993,0.007,0.033,0.023,0.002,0.003,0.003,0.097
78,16.984,12.832,4.151,10.633,0.004,0.175,1.905,0.009,0.024,0.013,0.002,0.002,0.003,0.062
79,16.028,10.227,5.802,7.637,0.004,0.248,2.164,0.007,0.030,0.023,0.002,0.003,0.004,0.106
