Performance Profiler Log
Started: 20260412_210726
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,552560303.064,27.372,552560275.692,25.745,0.005,0.616,0.904,0.008,0.040,0.001,0.002,0.003,0.000,0.048
1,31.817,31.748,0.070,30.272,0.003,0.619,0.766,0.008,0.028,0.001,0.002,0.002,0.003,0.044
2,31.425,31.358,0.067,29.890,0.003,0.610,0.771,0.007,0.028,0.001,0.002,0.002,0.002,0.041
3,34.680,34.610,0.070,32.598,0.003,1.138,0.783,0.007,0.027,0.001,0.001,0.002,0.002,0.047
4,31.565,31.496,0.069,30.021,0.003,0.617,0.766,0.008,0.028,0.001,0.002,0.002,0.002,0.045
5,32.872,32.806,0.065,31.341,0.003,0.603,0.781,0.007,0.026,0.001,0.002,0.002,0.002,0.039
6,33.559,33.488,0.071,32.036,0.003,0.610,0.758,0.008,0.026,0.001,0.002,0.002,0.002,0.040
7,33.784,33.719,0.065,32.251,0.003,0.614,0.775,0.007,0.026,0.001,0.001,0.001,0.002,0.038
8,32.629,32.563,0.066,31.095,0.003,0.609,0.776,0.008,0.026,0.001,0.002,0.001,0.002,0.039
9,33.151,33.083,0.068,31.607,0.004,0.615,0.775,0.009,0.026,0.001,0.002,0.001,0.002,0.040
10,34.164,34.097,0.067,32.574,0.003,0.608,0.831,0.008,0.026,0.001,0.002,0.002,0.002,0.039
11,32.482,32.407,0.075,30.899,0.003,0.641,0.775,0.008,0.031,0.001,0.002,0.002,0.002,0.043
12,33.214,33.150,0.064,31.685,0.003,0.600,0.782,0.008,0.025,0.001,0.002,0.002,0.002,0.040
13,32.663,32.600,0.063,30.918,0.003,0.608,0.754,0.008,0.026,0.001,0.002,0.002,0.002,0.278
14,33.239,33.187,0.052,31.751,0.001,0.613,0.754,0.006,0.023,0.001,0.002,0.002,0.002,0.033
15,32.638,32.583,0.055,31.139,0.002,0.605,0.759,0.006,0.031,0.001,0.001,0.001,0.002,0.036
16,35.068,35.026,0.041,33.607,0.001,0.591,0.773,0.005,0.017,0.000,0.001,0.000,0.001,0.029
17,32.312,32.253,0.059,30.836,0.002,0.589,0.752,0.007,0.024,0.001,0.001,0.001,0.002,0.037
18,33.701,33.641,0.060,32.193,0.002,0.616,0.756,0.007,0.023,0.001,0.001,0.001,0.002,0.037
19,33.740,33.689,0.051,32.267,0.002,0.601,0.752,0.005,0.023,0.001,0.001,0.001,0.002,0.035
20,33.136,33.086,0.051,31.662,0.002,0.599,0.758,0.006,0.023,0.000,0.001,0.001,0.002,0.032
21,33.163,33.109,0.054,31.666,0.002,0.606,0.768,0.006,0.022,0.001,0.001,0.001,0.002,0.034
22,34.162,34.106,0.056,32.697,0.002,0.593,0.747,0.006,0.022,0.001,0.002,0.001,0.002,0.033
23,32.377,32.308,0.069,30.775,0.003,0.660,0.786,0.008,0.028,0.001,0.002,0.002,0.002,0.042
