Performance Profiler Log
Started: 20260412_014945
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,483098166.927,22.662,483098144.266,21.671,0.002,0.719,0.174,0.009,0.019,0.015,0.001,0.002,0.000,0.050
1,51.662,51.565,0.097,7.511,0.003,0.805,43.103,0.009,0.032,0.025,0.002,0.003,0.004,0.068
2,45.547,45.446,0.102,14.583,0.004,0.825,29.901,0.010,0.028,0.020,0.002,0.003,0.003,0.067
3,12.945,12.859,0.086,2.054,0.003,0.777,9.905,0.006,0.029,0.015,0.002,0.003,0.003,0.062
4,2.984,2.890,0.094,1.893,0.004,0.684,0.166,0.010,0.040,0.014,0.004,0.003,0.004,0.068
5,10.366,10.300,0.066,9.261,0.002,0.751,0.179,0.006,0.024,0.013,0.001,0.002,0.003,0.059
6,13.443,13.326,0.116,12.225,0.006,0.763,0.178,0.005,0.038,0.020,0.004,0.005,0.003,0.079
7,16.874,16.802,0.072,15.781,0.003,0.731,0.171,0.006,0.022,0.013,0.002,0.002,0.003,0.068
8,16.155,16.074,0.080,14.989,0.004,0.768,0.188,0.007,0.024,0.013,0.003,0.002,0.003,0.074
9,17.086,17.021,0.065,15.941,0.002,0.778,0.188,0.006,0.023,0.014,0.001,0.002,0.003,0.063
10,16.333,16.252,0.080,14.842,0.002,0.747,0.176,0.005,0.034,0.017,0.002,0.003,0.004,0.420
11,17.316,17.224,0.092,15.745,0.004,1.071,0.247,0.007,0.031,0.017,0.002,0.002,0.004,0.094
12,16.332,16.262,0.069,15.172,0.003,0.788,0.185,0.005,0.022,0.013,0.002,0.002,0.003,0.065
13,26.692,26.467,0.225,2.909,0.003,1.299,22.128,0.012,0.022,0.013,0.001,0.002,0.003,0.075
14,22.913,22.832,0.082,21.706,0.003,0.813,0.186,0.007,0.028,0.014,0.002,0.003,0.004,0.064
15,10.501,10.421,0.080,9.115,0.003,0.983,0.191,0.008,0.030,0.014,0.001,0.003,0.003,0.070
16,29.476,29.394,0.082,2.771,0.003,0.775,25.739,0.005,0.025,0.013,0.001,0.003,0.003,0.057
17,2.845,2.751,0.094,1.640,0.004,0.788,0.188,0.012,0.031,0.014,0.002,0.003,0.004,0.066
18,11.323,11.266,0.058,10.234,0.001,0.744,0.182,0.003,0.028,0.011,0.002,0.002,0.002,0.055
19,32.254,32.157,0.097,30.622,0.004,1.081,0.270,0.008,0.057,0.019,0.002,0.003,0.004,0.087
20,14.698,14.577,0.121,13.476,0.006,0.732,0.168,0.006,0.062,0.021,0.006,0.007,0.006,0.087
21,31.816,31.709,0.107,2.492,0.004,0.976,28.067,0.009,0.038,0.021,0.002,0.003,0.004,0.093
22,2.091,2.014,0.077,0.966,0.003,0.751,0.177,0.007,0.025,0.014,0.002,0.002,0.003,0.063
