Performance Profiler Log
Started: 20260412_015401
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,2449.856,15.324,2434.532,14.757,0.003,0.275,0.197,0.008,0.033,0.001,0.002,0.002,0.002,0.046
1,16.950,16.891,0.060,16.261,0.003,0.307,0.233,0.008,0.030,0.001,0.001,0.001,0.002,0.043
2,15.667,15.609,0.059,14.980,0.003,0.326,0.215,0.011,0.027,0.001,0.001,0.001,0.002,0.042
3,17.153,17.097,0.056,16.525,0.003,0.276,0.210,0.008,0.027,0.001,0.002,0.001,0.002,0.044
4,16.579,16.521,0.058,15.958,0.003,0.278,0.199,0.008,0.027,0.001,0.002,0.002,0.003,0.041
5,15.115,15.054,0.061,14.475,0.003,0.284,0.203,0.009,0.028,0.001,0.002,0.002,0.002,0.046
6,16.727,16.668,0.060,16.097,0.003,0.284,0.202,0.009,0.027,0.001,0.002,0.002,0.002,0.040
7,16.679,16.618,0.060,15.988,0.003,0.313,0.228,0.009,0.028,0.001,0.002,0.002,0.003,0.044
8,16.496,16.433,0.063,15.873,0.003,0.280,0.195,0.008,0.027,0.001,0.002,0.002,0.002,0.041
9,16.499,16.435,0.063,15.857,0.003,0.290,0.200,0.009,0.027,0.001,0.002,0.001,0.002,0.043
10,17.403,17.346,0.057,16.718,0.003,0.304,0.238,0.009,0.026,0.001,0.001,0.002,0.002,0.041
11,16.764,16.669,0.095,15.885,0.004,0.424,0.224,0.021,0.044,0.001,0.003,0.003,0.004,0.058
12,15.840,15.778,0.062,15.182,0.003,0.290,0.217,0.010,0.027,0.001,0.002,0.002,0.002,0.043
13,16.810,16.744,0.065,16.131,0.003,0.289,0.235,0.009,0.029,0.001,0.002,0.002,0.002,0.042
14,16.497,16.434,0.062,15.864,0.003,0.280,0.204,0.008,0.029,0.001,0.002,0.002,0.002,0.041
15,16.475,16.411,0.064,15.712,0.003,0.342,0.257,0.009,0.032,0.001,0.002,0.002,0.002,0.050
16,16.857,16.799,0.058,16.239,0.003,0.272,0.203,0.008,0.027,0.001,0.002,0.002,0.002,0.042
17,16.154,16.086,0.068,15.281,0.003,0.392,0.296,0.011,0.039,0.001,0.001,0.002,0.003,0.056
18,16.639,16.582,0.057,16.024,0.003,0.276,0.200,0.008,0.027,0.001,0.001,0.002,0.002,0.039
19,16.738,16.672,0.067,15.883,0.003,0.380,0.288,0.010,0.042,0.001,0.001,0.002,0.003,0.058
20,17.045,16.974,0.071,16.122,0.003,0.429,0.305,0.011,0.039,0.001,0.002,0.002,0.003,0.058
21,17.089,17.030,0.059,16.473,0.003,0.270,0.200,0.008,0.027,0.001,0.002,0.002,0.002,0.043
22,16.346,16.284,0.062,15.715,0.003,0.273,0.204,0.008,0.031,0.001,0.002,0.002,0.002,0.044
23,15.830,15.770,0.060,15.194,0.003,0.287,0.203,0.008,0.028,0.001,0.002,0.002,0.003,0.040
24,16.698,16.642,0.056,16.085,0.003,0.277,0.199,0.008,0.027,0.001,0.002,0.001,0.002,0.039
25,17.135,17.080,0.054,16.505,0.002,0.292,0.203,0.008,0.026,0.001,0.002,0.001,0.002,0.039
26,16.175,16.119,0.056,15.550,0.002,0.278,0.209,0.007,0.027,0.001,0.002,0.002,0.002,0.039
27,17.213,17.143,0.070,16.416,0.003,0.390,0.205,0.011,0.052,0.001,0.004,0.002,0.004,0.055
28,16.756,16.694,0.062,16.114,0.003,0.285,0.201,0.008,0.029,0.001,0.003,0.002,0.002,0.046
29,16.326,16.263,0.063,15.694,0.003,0.276,0.199,0.008,0.032,0.002,0.002,0.002,0.003,0.043
30,15.738,15.678,0.060,14.935,0.003,0.284,0.199,0.009,0.026,0.001,0.001,0.002,0.002,0.216
31,18.077,18.019,0.059,17.455,0.003,0.275,0.198,0.008,0.033,0.001,0.002,0.002,0.002,0.040
32,16.160,16.087,0.074,15.213,0.003,0.427,0.318,0.014,0.042,0.001,0.002,0.002,0.003,0.062
33,16.354,16.291,0.062,15.711,0.005,0.283,0.208,0.010,0.026,0.001,0.002,0.002,0.002,0.041
34,16.951,16.890,0.061,16.327,0.003,0.274,0.200,0.008,0.028,0.001,0.002,0.002,0.002,0.042
35,16.489,16.429,0.060,15.866,0.003,0.274,0.201,0.008,0.029,0.001,0.002,0.002,0.002,0.042
36,17.584,17.519,0.064,16.932,0.003,0.280,0.211,0.008,0.032,0.001,0.002,0.002,0.004,0.045
37,15.606,15.540,0.066,14.944,0.003,0.285,0.200,0.009,0.028,0.001,0.002,0.002,0.002,0.065
38,16.221,16.160,0.061,15.511,0.003,0.333,0.221,0.008,0.029,0.001,0.001,0.001,0.003,0.048
39,17.220,17.163,0.057,16.559,0.003,0.317,0.197,0.009,0.029,0.001,0.001,0.002,0.002,0.043
