Performance Profiler Log
Started: 20260412_015327
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,10678.975,15.892,10663.083,15.377,0.002,0.261,0.188,0.006,0.019,0.001,0.001,0.000,0.001,0.036
1,16.234,16.196,0.038,15.679,0.002,0.271,0.185,0.005,0.018,0.001,0.001,0.000,0.002,0.032
2,16.284,16.247,0.036,15.741,0.001,0.263,0.188,0.005,0.016,0.000,0.001,0.001,0.001,0.031
3,16.089,16.055,0.034,15.559,0.001,0.255,0.187,0.005,0.015,0.000,0.001,0.001,0.001,0.030
4,16.872,16.838,0.035,16.338,0.001,0.263,0.183,0.005,0.014,0.000,0.001,0.000,0.001,0.030
5,16.657,16.621,0.037,16.110,0.001,0.265,0.183,0.005,0.015,0.000,0.001,0.001,0.001,0.039
6,16.673,16.636,0.037,16.138,0.001,0.254,0.184,0.005,0.016,0.000,0.001,0.001,0.001,0.034
7,17.086,17.052,0.034,16.553,0.001,0.261,0.185,0.005,0.014,0.000,0.000,0.000,0.001,0.031
8,18.499,18.468,0.031,17.976,0.001,0.260,0.184,0.005,0.012,0.000,0.000,0.000,0.001,0.029
9,15.294,15.237,0.058,14.691,0.003,0.271,0.192,0.008,0.026,0.001,0.002,0.001,0.003,0.040
10,17.647,17.552,0.095,16.866,0.004,0.317,0.206,0.008,0.045,0.001,0.002,0.002,0.004,0.098
11,15.945,15.887,0.059,15.336,0.003,0.274,0.192,0.009,0.026,0.001,0.002,0.001,0.003,0.042
12,17.030,16.936,0.094,15.940,0.004,0.637,0.192,0.009,0.045,0.001,0.002,0.002,0.004,0.098
13,15.963,15.852,0.111,14.808,0.004,0.631,0.247,0.010,0.045,0.001,0.002,0.001,0.004,0.098
14,16.242,16.179,0.064,15.572,0.003,0.297,0.220,0.009,0.027,0.001,0.001,0.001,0.004,0.043
15,18.492,18.457,0.034,17.961,0.001,0.254,0.186,0.005,0.014,0.000,0.001,0.001,0.001,0.033
16,15.909,15.825,0.084,15.195,0.003,0.275,0.195,0.009,0.047,0.001,0.002,0.001,0.004,0.094
17,15.108,15.050,0.058,14.502,0.003,0.273,0.192,0.008,0.026,0.001,0.002,0.001,0.003,0.041
18,16.823,16.788,0.035,16.292,0.001,0.255,0.185,0.005,0.016,0.000,0.001,0.000,0.001,0.031
19,16.670,16.632,0.038,16.130,0.002,0.257,0.187,0.005,0.016,0.000,0.001,0.000,0.001,0.031
20,16.059,16.024,0.035,15.525,0.001,0.260,0.183,0.005,0.016,0.000,0.001,0.000,0.001,0.031
21,16.266,16.232,0.034,15.738,0.001,0.253,0.187,0.005,0.014,0.000,0.001,0.000,0.001,0.031
22,16.773,16.742,0.032,16.229,0.001,0.267,0.194,0.005,0.013,0.000,0.001,0.000,0.001,0.030
23,17.844,17.811,0.033,17.319,0.001,0.260,0.183,0.005,0.013,0.000,0.001,0.001,0.001,0.030
24,15.564,15.528,0.036,14.981,0.001,0.262,0.230,0.005,0.015,0.000,0.001,0.000,0.001,0.032
25,17.386,17.353,0.033,16.861,0.001,0.254,0.186,0.005,0.014,0.000,0.001,0.000,0.001,0.030
26,16.954,16.917,0.037,16.417,0.001,0.259,0.185,0.005,0.017,0.000,0.001,0.000,0.001,0.031
27,16.911,16.876,0.035,16.360,0.001,0.270,0.191,0.005,0.015,0.000,0.001,0.000,0.001,0.031
28,18.444,18.411,0.033,17.908,0.001,0.254,0.192,0.005,0.013,0.000,0.001,0.000,0.001,0.036
29,13.765,13.667,0.098,12.555,0.004,0.722,0.227,0.008,0.046,0.001,0.002,0.001,0.004,0.097
30,17.708,17.665,0.043,17.102,0.001,0.314,0.188,0.005,0.018,0.000,0.001,0.001,0.002,0.033
31,14.866,14.828,0.037,14.287,0.002,0.291,0.189,0.008,0.017,0.000,0.001,0.000,0.001,0.033
32,18.067,18.030,0.037,17.527,0.002,0.258,0.188,0.006,0.016,0.000,0.001,0.000,0.002,0.032
33,17.670,17.636,0.035,17.141,0.001,0.255,0.185,0.005,0.015,0.000,0.001,0.000,0.003,0.031
34,14.747,14.687,0.061,14.115,0.003,0.275,0.198,0.008,0.038,0.001,0.002,0.001,0.003,0.045
35,15.954,15.912,0.042,15.389,0.001,0.272,0.191,0.006,0.018,0.000,0.001,0.001,0.001,0.032
36,17.334,17.297,0.037,16.772,0.001,0.271,0.195,0.006,0.018,0.000,0.001,0.000,0.001,0.031
37,16.548,16.508,0.040,15.828,0.001,0.264,0.189,0.006,0.018,0.000,0.001,0.001,0.001,0.200
38,16.632,16.598,0.034,16.102,0.001,0.252,0.191,0.005,0.015,0.000,0.000,0.000,0.001,0.030
39,17.394,17.360,0.033,16.862,0.001,0.255,0.185,0.005,0.021,0.000,0.001,0.000,0.001,0.030
40,15.954,15.895,0.058,15.329,0.003,0.288,0.194,0.009,0.027,0.001,0.002,0.001,0.002,0.040
41,16.035,13.617,2.418,13.084,0.002,0.269,0.191,0.007,0.023,0.000,0.001,0.001,0.002,0.037
42,18.392,16.158,2.234,15.658,0.001,0.258,0.190,0.005,0.012,0.000,0.001,0.000,0.001,0.032
43,15.087,12.823,2.264,12.319,0.001,0.262,0.186,0.006,0.014,0.000,0.001,0.000,0.001,0.033
44,16.327,14.145,2.182,13.640,0.001,0.260,0.194,0.005,0.011,0.000,0.001,0.000,0.001,0.031
45,18.823,16.396,2.427,15.848,0.003,0.274,0.192,0.008,0.025,0.001,0.002,0.001,0.002,0.041
46,14.321,11.841,2.480,11.200,0.011,0.319,0.201,0.017,0.026,0.001,0.002,0.001,0.002,0.062
47,17.381,15.059,2.321,14.554,0.001,0.264,0.185,0.008,0.012,0.000,0.001,0.000,0.001,0.033
48,16.095,13.631,2.464,13.071,0.003,0.286,0.193,0.007,0.025,0.001,0.002,0.001,0.002,0.041
49,15.923,13.445,2.479,12.863,0.003,0.288,0.207,0.008,0.026,0.001,0.002,0.001,0.002,0.044
50,17.786,15.319,2.467,14.769,0.003,0.274,0.193,0.008,0.027,0.001,0.002,0.001,0.002,0.041
51,15.482,12.945,2.538,12.385,0.003,0.273,0.198,0.008,0.029,0.001,0.002,0.001,0.002,0.043
52,17.074,14.542,2.532,14.030,0.002,0.265,0.187,0.006,0.011,0.000,0.001,0.000,0.001,0.036
53,16.835,14.454,2.382,13.927,0.002,0.267,0.190,0.007,0.018,0.001,0.001,0.001,0.002,0.040
54,14.971,12.365,2.606,11.779,0.003,0.274,0.199,0.009,0.046,0.001,0.002,0.002,0.004,0.045
55,17.002,14.631,2.371,14.115,0.002,0.263,0.186,0.006,0.016,0.000,0.001,0.001,0.002,0.038
56,17.152,14.929,2.224,14.423,0.001,0.267,0.184,0.005,0.013,0.000,0.001,0.001,0.001,0.033
57,17.708,15.497,2.211,14.998,0.001,0.257,0.183,0.005,0.012,0.000,0.001,0.007,0.002,0.032
58,16.743,14.550,2.192,14.058,0.001,0.255,0.185,0.005,0.012,0.000,0.001,0.001,0.001,0.032
59,15.957,13.508,2.450,12.961,0.003,0.273,0.192,0.008,0.025,0.001,0.002,0.001,0.002,0.041
60,16.932,14.427,2.505,13.877,0.003,0.276,0.191,0.007,0.027,0.001,0.002,0.001,0.003,0.040
61,16.243,13.754,2.489,13.177,0.003,0.282,0.196,0.011,0.026,0.001,0.002,0.001,0.002,0.053
62,18.565,16.089,2.475,15.539,0.003,0.274,0.193,0.008,0.026,0.001,0.002,0.001,0.002,0.042
63,15.241,12.714,2.527,12.155,0.003,0.276,0.201,0.008,0.026,0.001,0.002,0.001,0.003,0.041
64,16.450,14.156,2.295,13.663,0.001,0.255,0.184,0.005,0.012,0.000,0.001,0.000,0.001,0.032
65,16.561,13.481,3.080,12.918,0.003,0.284,0.194,0.008,0.026,0.001,0.002,0.001,0.002,0.044
66,17.118,13.776,3.343,13.185,0.004,0.299,0.199,0.009,0.026,0.001,0.002,0.001,0.002,0.049
67,16.608,13.997,2.611,13.336,0.003,0.287,0.286,0.009,0.026,0.001,0.002,0.001,0.003,0.044
68,16.295,14.033,2.263,13.520,0.002,0.266,0.187,0.006,0.013,0.000,0.001,0.000,0.002,0.036
69,16.179,12.734,3.445,11.870,0.004,0.392,0.306,0.011,0.045,0.001,0.002,0.002,0.003,0.099
70,15.940,13.462,2.478,12.892,0.003,0.280,0.193,0.008,0.027,0.001,0.001,0.002,0.002,0.053
71,16.610,14.129,2.481,13.582,0.003,0.271,0.191,0.007,0.024,0.000,0.001,0.002,0.002,0.046
72,16.497,14.210,2.287,13.677,0.002,0.267,0.198,0.006,0.018,0.000,0.001,0.001,0.002,0.040
73,16.872,14.670,2.202,14.169,0.001,0.259,0.186,0.005,0.014,0.000,0.001,0.001,0.001,0.033
74,17.155,14.590,2.565,14.040,0.003,0.274,0.191,0.008,0.026,0.001,0.002,0.001,0.003,0.044
75,15.581,13.024,2.558,12.473,0.003,0.275,0.191,0.009,0.026,0.001,0.002,0.001,0.003,0.042
76,15.905,13.443,2.462,12.883,0.003,0.274,0.202,0.007,0.026,0.001,0.002,0.001,0.002,0.043
77,15.956,13.569,2.387,13.039,0.003,0.273,0.189,0.008,0.017,0.000,0.001,0.001,0.002,0.037
78,16.284,13.867,2.418,13.266,0.002,0.307,0.217,0.008,0.019,0.000,0.001,0.001,0.002,0.044
79,17.456,14.646,2.809,13.939,0.003,0.324,0.280,0.010,0.029,0.001,0.002,0.001,0.003,0.055
80,16.113,13.726,2.386,13.144,0.002,0.275,0.196,0.009,0.051,0.001,0.001,0.001,0.002,0.044
81,14.765,12.116,2.649,11.539,0.002,0.270,0.210,0.007,0.040,0.001,0.001,0.002,0.004,0.042
82,18.660,15.848,2.812,14.797,0.003,0.304,0.670,0.006,0.015,0.001,0.000,0.001,0.002,0.049
83,14.714,12.391,2.324,11.873,0.001,0.265,0.188,0.006,0.019,0.000,0.001,0.001,0.002,0.035
84,17.194,14.924,2.270,14.419,0.001,0.259,0.186,0.005,0.017,0.000,0.001,0.001,0.001,0.032
85,17.863,15.653,2.209,15.146,0.001,0.263,0.189,0.005,0.014,0.000,0.001,0.000,0.001,0.033
86,15.324,13.037,2.287,12.517,0.002,0.262,0.193,0.007,0.018,0.001,0.001,0.000,0.002,0.035
87,17.311,15.078,2.233,14.584,0.001,0.259,0.183,0.005,0.012,0.000,0.001,0.000,0.001,0.031
88,15.889,13.363,2.526,12.806,0.003,0.282,0.192,0.008,0.026,0.001,0.002,0.001,0.002,0.041
89,16.800,14.544,2.255,14.034,0.002,0.264,0.187,0.006,0.014,0.000,0.001,0.001,0.001,0.034
90,17.858,15.600,2.258,15.100,0.001,0.258,0.187,0.006,0.014,0.000,0.001,0.001,0.001,0.033
91,15.914,13.221,2.694,12.612,0.003,0.311,0.209,0.008,0.027,0.001,0.002,0.001,0.002,0.045
92,19.043,15.130,3.913,14.449,0.004,0.348,0.242,0.009,0.023,0.001,0.001,0.001,0.002,0.051
