Performance Profiler Log
Started: 20260412_015255
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,359.842,138.521,221.322,5.430,0.003,0.285,64.826,67.857,0.039,0.020,0.002,0.003,0.002,0.052
1,162.703,162.567,0.136,14.918,0.005,0.420,73.540,73.487,0.059,0.036,0.003,0.005,0.005,0.089
2,108.513,108.397,0.116,27.561,0.004,0.411,0.578,79.647,0.071,0.024,0.004,0.004,0.004,0.089
3,99.893,99.808,0.085,24.578,0.003,0.466,0.637,73.991,0.042,0.018,0.002,0.003,0.003,0.067
4,82.172,82.067,0.105,13.242,0.004,0.487,0.683,67.475,0.050,0.037,0.002,0.005,0.003,0.079
5,64.859,64.717,0.143,5.695,0.006,0.537,0.471,57.722,0.127,0.029,0.006,0.009,0.004,0.111
6,5.447,5.336,0.111,4.352,0.006,0.476,0.345,0.004,0.056,0.020,0.002,0.002,0.004,0.069
7,25.728,25.674,0.054,24.787,0.001,0.452,0.334,0.003,0.027,0.010,0.001,0.001,0.002,0.056
8,43.016,42.897,0.119,41.621,0.006,0.608,0.468,0.007,0.056,0.019,0.002,0.004,0.004,0.103
9,33.407,33.308,0.099,32.057,0.003,0.613,0.461,0.007,0.049,0.017,0.002,0.002,0.004,0.094
10,32.889,32.791,0.098,31.502,0.003,0.480,0.353,0.006,0.042,0.014,0.002,0.002,0.003,0.385
11,36.162,36.058,0.104,34.725,0.004,0.688,0.457,0.009,0.052,0.021,0.002,0.003,0.004,0.094
12,30.674,30.549,0.125,29.224,0.004,0.626,0.475,0.013,0.070,0.019,0.003,0.005,0.004,0.106
13,35.497,35.417,0.080,34.307,0.003,0.543,0.432,0.007,0.038,0.013,0.002,0.002,0.003,0.066
14,60.303,60.164,0.139,58.800,0.005,0.655,0.471,0.011,0.080,0.023,0.004,0.007,0.004,0.103
15,28.864,28.745,0.120,27.450,0.004,0.619,0.454,0.006,0.068,0.034,0.003,0.005,0.004,0.098
16,11.120,11.017,0.103,9.726,0.004,0.631,0.472,0.008,0.056,0.019,0.002,0.005,0.004,0.089
17,30.219,30.034,0.185,28.920,0.008,0.487,0.357,0.009,0.091,0.023,0.004,0.009,0.004,0.122
18,33.268,33.173,0.095,31.930,0.004,0.625,0.455,0.007,0.048,0.017,0.002,0.003,0.004,0.079
19,35.429,35.327,0.102,33.904,0.003,0.782,0.472,0.010,0.049,0.018,0.002,0.003,0.004,0.082
20,30.867,30.731,0.136,29.408,0.004,0.626,0.474,0.011,0.081,0.019,0.003,0.004,0.006,0.093
21,33.951,33.855,0.096,32.619,0.003,0.612,0.459,0.007,0.049,0.018,0.002,0.003,0.004,0.081
22,35.150,35.043,0.107,33.681,0.004,0.681,0.505,0.015,0.049,0.015,0.002,0.003,0.002,0.085
23,35.195,35.062,0.134,33.969,0.004,0.515,0.365,0.010,0.085,0.019,0.003,0.004,0.004,0.082
24,59.452,59.328,0.124,58.373,0.009,0.442,0.311,0.007,0.075,0.019,0.004,0.006,0.004,0.078
25,24.698,24.565,0.133,23.219,0.011,0.629,0.466,0.009,0.083,0.026,0.004,0.012,0.005,0.102
26,13.487,13.385,0.103,12.408,0.004,0.469,0.344,0.011,0.045,0.019,0.004,0.003,0.003,0.076
27,40.047,39.927,0.120,38.893,0.010,0.538,0.320,0.011,0.045,0.014,0.002,0.002,0.003,0.090
28,45.074,44.971,0.102,43.740,0.004,0.608,0.460,0.007,0.049,0.017,0.002,0.002,0.003,0.081
29,61.931,61.805,0.126,60.648,0.006,0.542,0.383,0.015,0.075,0.021,0.004,0.002,0.006,0.103
30,31.971,31.875,0.097,30.821,0.005,0.471,0.427,0.007,0.047,0.017,0.002,0.003,0.003,0.071
31,28.530,28.454,0.076,27.619,0.003,0.418,0.287,0.007,0.038,0.013,0.002,0.003,0.003,0.061
32,9.105,9.000,0.105,7.743,0.004,0.606,0.455,0.013,0.062,0.018,0.002,0.004,0.004,0.089
33,46.250,46.140,0.111,44.889,0.005,0.599,0.444,0.011,0.065,0.020,0.003,0.006,0.005,0.093
34,18.235,18.136,0.099,17.126,0.004,0.503,0.336,0.009,0.053,0.019,0.003,0.003,0.003,0.077
35,35.114,35.012,0.102,33.747,0.004,0.611,0.474,0.007,0.049,0.017,0.002,0.002,0.004,0.097
36,33.324,33.202,0.121,31.866,0.004,0.629,0.479,0.013,0.074,0.019,0.003,0.005,0.005,0.107
37,44.559,44.440,0.120,43.168,0.007,0.574,0.451,0.014,0.071,0.019,0.003,0.006,0.005,0.122
38,150.390,150.272,0.118,4.892,0.003,0.482,88.289,56.461,0.049,0.014,0.002,0.004,0.003,0.073
39,121.409,121.236,0.173,5.408,0.005,0.491,84.154,30.624,0.096,0.021,0.006,0.004,0.007,0.420
40,157.462,157.252,0.209,38.050,0.010,0.489,80.109,38.307,0.102,0.029,0.038,0.003,0.009,0.107
41,193.505,193.356,0.150,28.699,0.003,0.587,80.955,82.936,0.062,0.018,0.002,0.004,0.004,0.086
42,123.181,123.024,0.158,15.026,0.004,0.678,78.423,28.691,0.060,0.026,0.002,0.005,0.005,0.103
43,439.052,438.902,0.150,10.766,0.006,1.139,392.084,34.720,0.064,0.001,0.003,0.004,0.007,0.108
44,83.114,82.969,0.145,7.167,0.005,0.537,74.446,0.008,0.059,0.001,0.018,0.004,0.005,0.719
45,93.595,93.478,0.117,5.848,0.004,0.499,86.994,0.007,0.051,0.001,0.002,0.002,0.004,0.067
46,80.325,80.174,0.151,5.854,0.004,0.473,73.688,0.007,0.058,0.002,0.004,0.002,0.004,0.078
47,65.889,65.727,0.162,6.699,0.004,0.457,58.356,0.011,0.091,0.003,0.004,0.005,0.006,0.090
48,75.012,74.874,0.138,6.655,0.004,0.430,67.618,0.007,0.061,0.001,0.004,0.005,0.003,0.086
49,124.290,124.139,0.152,4.810,0.006,0.424,118.662,0.013,0.098,0.003,0.007,0.009,0.003,0.104
50,108.546,108.387,0.160,4.601,0.013,0.515,103.067,0.010,0.076,0.001,0.004,0.007,0.005,0.087
51,223.224,223.092,0.132,22.366,0.004,0.479,107.152,92.903,0.102,0.002,0.006,0.003,0.007,0.068
52,221.319,221.170,0.149,18.120,0.006,0.594,106.018,96.268,0.067,0.001,0.003,0.007,0.003,0.085
53,190.219,189.993,0.227,7.459,0.008,0.536,112.322,68.758,0.091,0.002,0.005,0.009,0.004,0.798
54,126.467,126.288,0.179,13.037,0.007,0.662,63.551,48.780,0.113,0.004,0.007,0.006,0.009,0.113
55,100.184,100.052,0.132,11.216,0.005,0.649,63.018,25.000,0.066,0.001,0.004,0.004,0.003,0.086
56,111.359,111.202,0.157,18.160,0.008,0.678,69.957,22.197,0.088,0.001,0.004,0.006,0.006,0.097
57,73.103,72.982,0.122,6.276,0.006,0.467,66.073,0.010,0.062,0.001,0.002,0.003,0.004,0.077
