Performance Profiler Log
Started: 20260412_191351
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,545743545.429,169.252,545743376.177,8.902,0.004,3.455,107.983,48.412,0.053,0.046,0.048,0.016,0.000,0.332
1,176.332,176.207,0.125,19.417,0.004,0.512,102.662,53.376,0.050,0.049,0.043,0.013,0.004,0.078
2,78.959,78.833,0.127,8.324,0.005,0.717,69.447,0.008,0.076,0.051,0.067,0.019,0.005,0.114
3,93.455,93.313,0.142,8.343,0.005,0.638,84.044,0.008,0.082,0.045,0.002,0.019,0.021,0.106
4,170.574,170.433,0.141,9.134,0.005,0.446,85.576,75.036,0.058,0.038,0.051,0.015,0.003,0.069
5,172.677,172.444,0.232,9.557,0.004,0.645,92.274,69.597,0.120,0.054,0.072,0.026,0.006,0.089
6,164.896,164.763,0.133,31.090,0.004,0.671,98.800,33.932,0.060,0.047,0.051,0.014,0.004,0.089
7,90.536,90.430,0.106,9.467,0.004,0.498,80.051,0.006,0.077,0.031,0.041,0.011,0.003,0.240
8,238.152,238.010,0.142,13.439,0.006,0.656,145.454,78.218,0.077,0.041,0.002,0.019,0.004,0.094
9,248.627,248.505,0.122,7.381,0.004,0.665,240.184,0.007,0.060,0.041,0.055,0.016,0.004,0.089
10,257.435,257.302,0.133,7.234,0.004,0.640,249.132,0.009,0.078,0.032,0.060,0.016,0.004,0.093
11,234.949,234.821,0.128,8.054,0.004,0.486,226.043,0.007,0.074,0.023,0.045,0.013,0.004,0.067
12,156.901,156.787,0.114,8.078,0.007,0.533,147.712,0.008,0.044,0.022,0.038,0.015,0.003,0.327
13,111.792,111.679,0.113,9.820,0.006,0.406,101.239,0.007,0.043,0.022,0.050,0.011,0.003,0.071
14,112.448,112.340,0.108,7.772,0.004,0.444,103.927,0.009,0.045,0.024,0.036,0.010,0.003,0.064
15,83.833,83.715,0.118,7.360,0.005,0.420,75.731,0.008,0.049,0.025,0.036,0.012,0.003,0.067
16,71.183,71.066,0.117,6.776,0.004,0.297,63.823,0.006,0.062,0.024,0.001,0.015,0.004,0.054
17,78.131,78.011,0.119,7.014,0.004,0.413,70.373,0.008,0.050,0.023,0.037,0.013,0.003,0.073
18,74.932,74.805,0.127,7.409,0.005,0.416,66.804,0.008,0.050,0.024,0.002,0.014,0.003,0.069
19,92.145,92.014,0.131,29.889,0.004,0.412,61.508,0.008,0.050,0.022,0.038,0.011,0.004,0.066
20,89.179,89.071,0.108,7.109,0.005,0.420,81.295,0.010,0.087,0.043,0.002,0.026,0.009,0.065
21,85.920,85.828,0.092,7.473,0.005,0.287,77.904,0.006,0.045,0.019,0.029,0.008,0.003,0.050
22,101.479,101.371,0.108,9.061,0.003,0.287,91.896,0.005,0.035,0.018,0.003,0.013,0.003,0.046
23,70.125,70.004,0.121,5.422,0.006,0.373,63.722,0.010,0.051,0.026,0.038,0.012,0.004,0.340
