Performance Profiler Log
Started: 20260413_015714
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,CU_ManagerUpdate_ms,CU_Eviction_ms,CU_SyncLoad_ms,CU_SyncWorldgen_ms,CU_SyncMesh_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms,ChunksEvicted,ChunksSyncGen,ChunksSyncLoaded,DesiredCount,ResidentCount
StartGraphics: preset=high display=borderless grid=9 render_distance=4 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,15.878,15.506,0.372,15.350,0.001,0.001,0.000,0.000,0.000,0.000,0.025,0.013,0.007,0.020,0.001,0.001,0.002,0.000,0.086,0,0,0,81,81
1,15.985,15.975,0.010,15.825,0.001,0.000,0.000,0.000,0.000,0.000,0.027,0.016,0.007,0.016,0.001,0.001,0.001,0.002,0.079,0,0,0,81,81
2,16.177,16.166,0.011,16.040,0.001,0.001,0.000,0.000,0.000,0.000,0.021,0.011,0.007,0.014,0.001,0.001,0.001,0.002,0.069,0,0,0,81,81
3,16.740,16.731,0.009,16.508,0.001,0.001,0.000,0.000,0.000,0.000,0.038,0.029,0.010,0.025,0.000,0.001,0.001,0.003,0.116,0,0,0,81,81
4,16.846,16.841,0.005,16.750,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.010,0.004,0.010,0.000,0.001,0.000,0.001,0.049,0,0,0,81,81
5,17.943,17.936,0.007,17.829,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.010,0.004,0.018,0.000,0.001,0.001,0.001,0.055,0,0,0,81,81
6,14.960,14.938,0.022,14.608,0.002,0.001,0.000,0.000,0.000,0.000,0.054,0.032,0.016,0.035,0.001,0.002,0.001,0.004,0.183,0,0,0,81,81
7,15.991,15.978,0.013,15.834,0.001,0.001,0.000,0.000,0.000,0.000,0.024,0.011,0.008,0.016,0.001,0.001,0.001,0.002,0.078,0,0,0,81,81
8,16.385,16.380,0.005,16.285,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.010,0.004,0.010,0.000,0.001,0.000,0.001,0.051,0,0,0,81,81
9,18.685,18.681,0.005,18.587,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.010,0.004,0.010,0.000,0.001,0.000,0.001,0.050,0,0,0,81,81
10,16.847,16.834,0.013,16.686,0.001,0.001,0.000,0.000,0.000,0.000,0.026,0.011,0.008,0.016,0.001,0.002,0.001,0.002,0.080,0,0,0,81,81
11,15.525,15.511,0.014,15.332,0.001,0.001,0.000,0.000,0.000,0.000,0.037,0.012,0.009,0.016,0.001,0.002,0.001,0.002,0.098,0,0,0,81,81
12,16.071,16.057,0.014,15.912,0.001,0.001,0.000,0.000,0.000,0.000,0.025,0.011,0.008,0.016,0.001,0.001,0.001,0.002,0.079,0,0,0,81,81
13,17.297,17.288,0.010,17.034,0.001,0.000,0.000,0.000,0.000,0.000,0.043,0.029,0.011,0.030,0.000,0.001,0.001,0.003,0.134,0,0,0,81,81
