Performance Profiler Log
Started: 20260412_011610
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,481082682.827,24.308,481082658.519,23.363,0.007,0.607,0.172,0.007,0.053,0.019,0.002,0.006,0.000,0.072
1,34.665,34.375,0.290,30.713,0.014,2.747,0.190,0.012,0.162,0.090,0.005,0.010,0.016,0.415
2,30.374,30.010,0.364,24.851,0.017,3.977,0.287,0.051,0.227,0.091,0.012,0.019,0.018,0.461
3,41.909,41.703,0.206,38.769,0.004,1.189,1.315,0.026,0.036,0.013,0.002,0.002,0.003,0.344
4,26.017,25.866,0.151,24.484,0.004,0.657,0.193,0.009,0.220,0.170,0.030,0.004,0.018,0.076
5,25.128,25.037,0.091,24.078,0.004,0.618,0.178,0.010,0.046,0.022,0.002,0.004,0.003,0.072
6,32.230,31.832,0.397,25.155,0.013,4.589,1.362,0.053,0.144,0.074,0.006,0.007,0.015,0.416
7,33.896,33.804,0.092,32.509,0.004,0.869,0.255,0.008,0.043,0.017,0.002,0.003,0.004,0.090
8,34.144,34.074,0.070,33.171,0.004,0.596,0.177,0.007,0.033,0.013,0.001,0.002,0.003,0.068
9,39.567,39.476,0.091,38.157,0.004,0.894,0.253,0.008,0.043,0.018,0.002,0.003,0.004,0.092
10,51.852,51.778,0.074,50.874,0.004,0.600,0.172,0.007,0.033,0.013,0.002,0.002,0.003,0.069
11,60.967,60.550,0.418,10.227,0.015,0.734,48.748,0.007,0.298,0.103,0.010,0.018,0.018,0.371
12,9.103,8.971,0.132,7.957,0.014,0.634,0.170,0.009,0.039,0.035,0.006,0.009,0.003,0.098
13,46.349,46.073,0.276,4.537,0.004,0.658,40.725,0.008,0.050,0.016,0.002,0.005,0.003,0.067
14,5.790,5.715,0.075,4.333,0.004,1.074,0.170,0.008,0.041,0.017,0.002,0.002,0.003,0.062
15,32.094,32.035,0.058,31.159,0.003,0.600,0.170,0.003,0.029,0.011,0.001,0.001,0.002,0.056
16,37.300,37.204,0.097,35.849,0.004,0.919,0.257,0.009,0.045,0.018,0.002,0.003,0.004,0.095
17,28.905,28.830,0.075,27.845,0.004,0.675,0.170,0.009,0.038,0.014,0.002,0.003,0.003,0.068
18,41.551,41.476,0.075,40.444,0.004,0.711,0.189,0.007,0.034,0.014,0.002,0.002,0.003,0.068
19,48.066,47.975,0.091,2.641,0.003,0.575,44.616,0.008,0.038,0.014,0.002,0.002,0.009,0.068
20,41.538,41.462,0.076,40.025,0.004,1.108,0.190,0.008,0.037,0.014,0.002,0.001,0.003,0.072
21,4.778,4.680,0.098,3.454,0.004,0.811,0.244,0.009,0.045,0.022,0.002,0.003,0.004,0.081
22,32.600,32.514,0.086,30.550,0.004,1.566,0.228,0.010,0.041,0.015,0.002,0.002,0.003,0.092
23,37.843,37.758,0.085,36.732,0.004,0.675,0.194,0.009,0.041,0.016,0.002,0.004,0.003,0.080
24,58.630,58.514,0.117,3.534,0.003,0.809,54.012,0.008,0.042,0.015,0.001,0.002,0.003,0.084
25,5.227,5.146,0.082,4.078,0.004,0.701,0.203,0.009,0.046,0.012,0.001,0.002,0.003,0.087
26,35.202,35.055,0.147,34.085,0.004,0.636,0.188,0.007,0.037,0.014,0.001,0.002,0.002,0.077
27,37.093,37.018,0.074,36.021,0.004,0.671,0.189,0.007,0.038,0.013,0.001,0.002,0.003,0.070
28,38.650,38.497,0.154,37.384,0.011,0.619,0.177,0.008,0.134,0.031,0.005,0.009,0.007,0.112
29,62.543,62.450,0.094,2.841,0.004,1.190,58.262,0.010,0.044,0.015,0.002,0.003,0.003,0.076
30,2.949,2.840,0.109,1.782,0.004,0.665,0.186,0.008,0.062,0.023,0.004,0.010,0.003,0.093
31,30.511,30.455,0.056,29.562,0.001,0.615,0.180,0.003,0.023,0.011,0.002,0.002,0.002,0.054
