chunk_idx,cx,cz,top_y,palette_size,non_air_count,air_count,entropy,compression_potential,recommended_method
238,0,0,0,16,991012,3203292,1.1761,85.16,6
239,0,0,0,11,978207,3216097,1.1685,85.82,6
240,0,0,0,10,1087999,3106305,1.2692,84.35,6
241,0,0,0,10,1086461,3107843,1.2878,84.34,6
242,0,0,0,20,1020623,3173681,1.3001,84.11,6
243,0,0,0,16,1006815,3187489,1.1833,84.97,6
244,0,0,0,16,993843,3200461,1.1795,85.11,6
245,0,0,0,16,989725,3204579,1.1880,85.15,6
246,0,0,0,16,1001288,3193016,1.1957,85.02,6
247,0,0,0,10,1060907,3133397,1.2270,84.74,6
248,0,0,0,17,1093037,3101267,1.2051,83.71,6
249,0,0,0,13,992946,3201358,1.1887,85.42,6
250,0,0,0,19,1015634,3178670,1.0143,84.74,6
251,0,0,0,10,1073269,3121035,0.9588,85.09,6
252,0,0,0,13,995104,3199200,1.2002,85.39,6
253,0,0,0,14,1069903,3124401,0.9328,84.76,6
254,0,0,0,19,1004326,3189978,1.0697,84.81,6
255,0,0,0,14,1007758,3186546,0.9157,85.52,6
256,0,0,0,7,2095712,2098592,2.1250,71.72,6
257,0,0,0,7,2095712,2098592,2.2068,71.59,6
258,0,0,0,10,975583,3218721,1.0411,86.13,6
259,0,0,0,7,2096384,2097920,2.2069,71.59,6
260,0,0,0,6,2096384,2097920,2.0471,71.93,6
261,0,0,0,15,990044,3204260,1.0517,85.44,6
262,0,0,0,15,991662,3202642,1.0663,85.40,6
263,0,0,0,21,969798,3224506,1.3140,84.58,6
264,0,0,0,16,911909,3282395,1.1883,86.03,6
265,0,0,0,11,920697,3273607,1.1899,86.44,6
266,0,0,0,11,916902,3277402,1.1956,86.48,6
267,0,0,0,16,931066,3263238,1.2076,85.80,6
268,0,0,0,16,929409,3264895,1.2068,85.81,6
269,0,0,0,16,945320,3248984,1.1801,85.67,6
270,0,0,0,16,944032,3250272,1.2059,85.64,6
271,0,0,0,16,956344,3237960,1.1734,85.55,6
272,0,0,0,16,962985,3231319,1.1610,85.49,6
273,0,0,0,14,967622,3226682,1.1811,85.61,6
274,0,0,0,13,968555,3225749,1.1625,85.74,6
275,0,0,0,7,2096384,2097920,2.1359,71.70,6
276,0,0,0,10,988648,3205656,1.1867,85.63,6
277,0,0,0,7,2096384,2097920,1.8627,72.14,6
278,0,0,0,10,972396,3221908,1.1765,85.82,6
279,0,0,0,10,986015,3208289,1.2070,85.61,6
280,0,0,0,10,979282,3215022,1.1984,85.71,6
281,0,0,0,10,979138,3215166,1.2110,85.69,6
282,0,0,0,10,1009228,3185076,1.2004,85.37,6
283,0,0,0,10,992562,3201742,1.1960,85.55,6
284,0,0,0,10,1042560,3151744,1.2192,84.97,6
285,0,0,0,10,1059914,3134390,1.2686,84.68,6
286,0,0,0,10,1081589,3112715,1.2362,84.50,6
287,0,0,0,10,1102650,3091654,1.2260,84.27,6
288,0,0,0,10,1128122,3066182,1.2000,84.05,6
289,0,0,0,10,1096676,3097628,1.1549,84.49,6
290,0,0,0,10,1100673,3093631,1.2575,84.24,6
291,0,0,0,10,1098764,3095540,1.2160,84.33,6
292,0,0,0,10,1077837,3116467,1.2278,84.55,6
293,0,0,0,15,950456,3243848,1.1817,85.70,6
294,0,0,0,9,1074362,3119942,1.0627,84.99,6
295,0,0,0,17,1004143,3190161,1.1782,84.76,6
296,0,0,0,7,2096384,2097920,2.1017,71.75,6
297,0,0,0,9,2096384,2097920,2.3606,71.17,6
298,0,0,0,9,2095712,2098592,2.2233,71.40,6
299,0,0,0,7,2096384,2097920,2.1355,71.70,6
300,0,0,0,7,2096384,2097920,2.2053,71.59,6
301,0,0,0,7,2095712,2098592,2.2020,71.60,6
302,0,0,0,7,2096384,2097920,2.1383,71.70,6
303,0,0,0,7,2096384,2097920,2.1106,71.74,6
304,0,0,0,7,2096384,2097920,2.1757,71.64,6
305,0,0,0,7,2096384,2097920,2.2076,71.58,6
306,0,0,0,7,2096384,2097920,2.1622,71.66,6
307,0,0,0,7,2096384,2097920,2.1385,71.70,6
308,0,0,0,7,2096552,2097752,2.0548,71.82,6
309,0,0,0,7,2043392,2150912,2.0558,72.41,6
310,0,0,0,7,2096384,2097920,2.2076,71.58,6
311,0,0,0,7,2096384,2097920,2.1990,71.60,6
312,0,0,0,9,2095712,2098592,2.3155,71.25,6
313,0,0,0,7,2096384,2097920,2.1893,71.61,6
314,0,0,0,6,2096384,2097920,2.0463,71.93,6
315,0,0,0,6,2096384,2097920,2.0471,71.93,6
316,0,0,0,6,2096384,2097920,2.0466,71.93,6
317,0,0,0,6,2096384,2097920,2.0466,71.93,6
318,0,0,0,7,2096384,2097920,2.2054,71.59,6
319,0,0,0,7,2096384,2097920,2.2090,71.58,6
320,0,0,0,7,2096384,2097920,2.2072,71.59,6
321,0,0,0,7,2096384,2097920,2.2087,71.58,6
322,0,0,0,7,2096384,2097920,2.2065,71.59,6
323,0,0,0,7,2096384,2097920,2.2077,71.58,6
324,0,0,0,7,2096552,2097752,2.1060,71.74,6
325,0,0,0,7,2043392,2150912,2.0860,72.36,6
326,0,0,0,7,2096384,2097920,2.2057,71.59,6
327,0,0,0,7,2096384,2097920,2.2069,71.59,6
328,0,0,0,7,2096384,2097920,2.2047,71.59,6
329,0,0,0,7,2096384,2097920,2.2095,71.58,6
330,0,0,0,7,2096384,2097920,2.2084,71.58,6
331,0,0,0,9,2096384,2097920,2.3874,71.13,6
332,0,0,0,6,2096384,2097920,2.0493,71.92,6
333,0,0,0,7,2096384,2097920,2.1356,71.70,6
334,0,0,0,7,2095712,2098592,2.1539,71.68,6
335,0,0,0,7,2096384,2097920,2.2086,71.58,6
336,0,0,0,7,2095712,2098592,2.2040,71.60,6
337,0,0,0,6,2096384,2097920,2.0487,71.92,6
338,0,0,0,6,2096384,2097920,2.0488,71.92,6
339,0,0,0,7,2095712,2098592,2.1235,71.73,6
340,0,0,0,7,2095712,2098592,2.2059,71.59,6
341,0,0,0,6,2095712,2098592,2.0471,71.93,6
