Performance Profiler Log
Started: 20260412_010852
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,480644800.252,12.899,480644787.353,11.855,0.003,0.758,0.173,0.006,0.030,0.001,0.001,0.004,0.000,0.067
1,16.281,16.210,0.072,15.323,0.004,0.640,0.145,0.007,0.024,0.001,0.002,0.002,0.003,0.060
2,16.748,16.664,0.084,15.333,0.004,0.985,0.230,0.006,0.026,0.001,0.002,0.002,0.004,0.072
3,16.751,16.661,0.091,15.332,0.004,0.969,0.230,0.006,0.033,0.001,0.002,0.003,0.004,0.078
4,15.905,15.838,0.067,14.939,0.003,0.667,0.140,0.006,0.021,0.001,0.002,0.002,0.003,0.053
5,16.597,16.526,0.071,15.482,0.004,0.772,0.174,0.006,0.021,0.001,0.002,0.001,0.003,0.060
6,16.750,16.665,0.084,15.314,0.004,1.002,0.229,0.007,0.027,0.001,0.002,0.002,0.004,0.074
7,16.328,16.242,0.086,14.882,0.004,0.999,0.225,0.007,0.039,0.001,0.002,0.003,0.004,0.076
8,17.483,17.397,0.086,16.036,0.004,0.997,0.234,0.007,0.035,0.001,0.002,0.002,0.004,0.074
9,15.619,15.537,0.082,14.473,0.003,0.776,0.180,0.006,0.029,0.001,0.001,0.004,0.003,0.061
10,17.817,17.769,0.048,16.777,0.001,0.745,0.172,0.003,0.016,0.000,0.001,0.001,0.002,0.049
11,16.508,16.417,0.091,15.013,0.004,1.001,0.228,0.008,0.071,0.001,0.002,0.004,0.003,0.083
12,15.562,15.474,0.088,14.108,0.004,1.002,0.225,0.007,0.042,0.001,0.002,0.004,0.004,0.076
13,17.011,16.924,0.087,15.521,0.004,1.051,0.228,0.007,0.030,0.001,0.002,0.002,0.004,0.074
14,16.410,16.326,0.085,14.979,0.004,1.001,0.224,0.007,0.027,0.001,0.002,0.002,0.003,0.075
15,16.511,16.425,0.086,15.097,0.004,0.980,0.232,0.006,0.026,0.001,0.002,0.002,0.004,0.074
16,16.817,16.732,0.084,15.393,0.004,0.992,0.230,0.006,0.026,0.001,0.002,0.002,0.004,0.075
17,16.757,16.686,0.071,15.664,0.004,0.734,0.185,0.007,0.024,0.001,0.002,0.002,0.002,0.060
18,16.619,16.531,0.088,15.182,0.004,0.988,0.229,0.008,0.032,0.001,0.002,0.004,0.003,0.077
19,16.599,16.509,0.089,15.184,0.004,0.966,0.227,0.006,0.033,0.001,0.002,0.003,0.004,0.080
20,17.225,17.139,0.086,15.795,0.004,0.992,0.229,0.007,0.026,0.001,0.002,0.002,0.004,0.076
21,15.970,15.879,0.091,14.514,0.004,1.005,0.231,0.008,0.030,0.001,0.002,0.003,0.004,0.077
22,16.741,16.654,0.087,15.303,0.004,1.007,0.226,0.006,0.025,0.001,0.002,0.001,0.004,0.075
23,17.027,16.938,0.088,15.588,0.004,0.998,0.230,0.007,0.028,0.001,0.002,0.002,0.004,0.075
24,16.552,16.461,0.091,15.091,0.004,1.002,0.238,0.012,0.029,0.001,0.002,0.002,0.004,0.077
25,17.952,17.871,0.081,16.837,0.003,0.764,0.175,0.006,0.019,0.001,0.002,0.001,0.003,0.061
26,14.608,14.534,0.074,13.530,0.004,0.728,0.177,0.006,0.022,0.001,0.002,0.002,0.003,0.059
27,20.462,20.378,0.084,18.941,0.004,1.076,0.241,0.007,0.026,0.001,0.002,0.002,0.004,0.075
28,17.886,17.809,0.076,16.764,0.004,0.766,0.181,0.006,0.019,0.001,0.002,0.001,0.003,0.062
29,22.082,21.997,0.085,1.566,0.002,0.751,19.596,0.005,0.019,0.001,0.001,0.001,0.003,0.053
30,6.703,6.595,0.108,5.418,0.009,0.819,0.171,0.011,0.029,0.014,0.002,0.003,0.003,0.117
31,16.931,16.877,0.054,15.879,0.002,0.734,0.174,0.003,0.018,0.011,0.001,0.002,0.003,0.050
32,16.019,15.882,0.137,14.393,0.015,1.060,0.227,0.007,0.036,0.021,0.003,0.005,0.004,0.111
33,16.523,16.433,0.090,15.070,0.004,1.000,0.229,0.006,0.025,0.015,0.002,0.002,0.004,0.075
34,17.562,17.409,0.153,1.138,0.004,0.991,15.145,0.006,0.026,0.017,0.002,0.002,0.004,0.075
35,16.075,15.994,0.082,14.539,0.004,1.002,0.304,0.006,0.028,0.017,0.002,0.002,0.003,0.086
36,16.624,16.545,0.078,15.139,0.004,1.043,0.229,0.007,0.026,0.017,0.002,0.002,0.003,0.073
37,16.436,16.357,0.079,1.169,0.004,0.653,14.434,0.006,0.020,0.013,0.002,0.002,0.003,0.052
38,16.544,16.476,0.068,15.449,0.003,0.748,0.175,0.005,0.020,0.013,0.001,0.001,0.003,0.057
39,16.101,16.010,0.091,14.523,0.004,1.036,0.317,0.004,0.027,0.018,0.002,0.002,0.003,0.074
40,23.758,23.681,0.077,1.138,0.002,1.066,21.386,0.004,0.020,0.011,0.001,0.001,0.002,0.051
41,18.498,18.401,0.097,1.301,0.004,1.016,15.938,0.007,0.038,0.016,0.002,0.002,0.004,0.074
42,12.666,12.585,0.081,0.923,0.004,0.744,10.789,0.005,0.042,0.013,0.001,0.004,0.003,0.058
43,13.216,13.128,0.088,1.200,0.002,0.746,10.872,0.004,0.020,0.012,0.002,0.002,0.002,0.266
44,15.369,15.283,0.087,13.891,0.004,1.012,0.229,0.007,0.039,0.017,0.002,0.003,0.004,0.076
45,16.461,16.393,0.069,15.412,0.004,0.732,0.141,0.007,0.023,0.013,0.002,0.002,0.003,0.054
46,17.417,17.332,0.085,15.930,0.004,1.017,0.236,0.007,0.039,0.017,0.002,0.002,0.003,0.074
47,16.956,16.853,0.103,1.286,0.004,0.972,14.458,0.006,0.029,0.018,0.002,0.003,0.004,0.072
48,15.451,11.237,4.213,10.149,0.003,0.756,0.174,0.006,0.047,0.028,0.002,0.003,0.003,0.067
49,32.422,24.598,7.824,2.769,0.003,0.646,21.047,0.006,0.030,0.017,0.002,0.003,0.004,0.072
50,19.748,14.454,5.294,1.518,0.004,0.997,11.452,0.007,0.037,0.332,0.004,0.004,0.003,0.096
51,21.874,17.708,4.166,1.576,0.003,0.741,15.286,0.005,0.019,0.013,0.001,0.001,0.003,0.057
52,25.232,20.299,4.933,1.752,0.004,0.767,17.654,0.004,0.025,0.012,0.001,0.003,0.003,0.074
53,21.598,17.143,4.455,5.756,0.003,0.784,10.460,0.006,0.049,0.017,0.002,0.002,0.003,0.061
54,8.936,3.249,5.687,1.742,0.004,1.030,0.296,0.007,0.054,0.017,0.002,0.003,0.004,0.090
55,9.974,4.055,5.920,2.663,0.002,0.887,0.310,0.005,0.092,0.022,0.002,0.008,0.005,0.058
56,22.182,18.180,4.002,1.882,0.001,0.703,15.506,0.002,0.017,0.011,0.001,0.002,0.003,0.051
57,8.949,3.183,5.766,1.649,0.004,1.072,0.242,0.006,0.075,0.024,0.005,0.008,0.005,0.093
58,6.791,2.671,4.119,1.617,0.003,0.757,0.172,0.006,0.027,0.013,0.001,0.003,0.003,0.069
59,5.644,1.699,3.945,0.710,0.001,0.721,0.172,0.002,0.016,0.009,0.015,0.002,0.002,0.048
60,14.204,10.387,3.817,9.441,0.001,0.695,0.173,0.002,0.015,0.011,0.000,0.001,0.002,0.046
61,16.830,11.933,4.897,10.898,0.001,0.742,0.175,0.003,0.038,0.017,0.002,0.002,0.003,0.052
62,16.941,11.381,5.561,9.998,0.004,0.985,0.233,0.006,0.038,0.017,0.002,0.003,0.003,0.090
63,16.408,11.255,5.153,10.298,0.004,0.650,0.141,0.006,0.056,0.018,0.002,0.004,0.004,0.073
64,16.524,11.038,5.486,9.629,0.004,1.013,0.230,0.006,0.038,0.018,0.002,0.003,0.004,0.091
65,16.574,11.183,5.391,9.782,0.004,0.992,0.231,0.006,0.051,0.024,0.002,0.004,0.004,0.085
66,16.203,10.858,5.345,9.470,0.004,0.988,0.229,0.006,0.051,0.018,0.002,0.002,0.004,0.085
67,16.560,11.134,5.426,9.747,0.004,0.996,0.230,0.007,0.041,0.018,0.002,0.003,0.004,0.084
68,17.191,11.749,5.442,10.375,0.004,0.989,0.230,0.007,0.038,0.017,0.002,0.003,0.004,0.081
69,25.506,17.704,7.802,1.211,0.004,1.000,15.307,0.007,0.053,0.018,0.002,0.004,0.004,0.096
70,7.501,3.173,4.328,2.089,0.005,0.781,0.181,0.008,0.021,0.014,0.001,0.001,0.003,0.068
71,17.267,13.371,3.896,12.416,0.004,0.680,0.148,0.007,0.027,0.013,0.002,0.004,0.003,0.067
72,16.258,12.084,4.173,11.050,0.001,0.730,0.171,0.003,0.051,0.018,0.002,0.003,0.004,0.053
73,16.443,11.649,4.794,10.645,0.001,0.707,0.169,0.002,0.048,0.018,0.002,0.002,0.004,0.051
74,16.673,11.235,5.438,9.851,0.004,0.992,0.231,0.006,0.040,0.017,0.002,0.003,0.004,0.087
75,16.445,10.915,5.530,9.543,0.004,0.992,0.227,0.006,0.035,0.018,0.002,0.002,0.004,0.082
76,16.659,11.207,5.452,9.827,0.004,0.991,0.228,0.006,0.040,0.018,0.002,0.002,0.004,0.085
