Performance Profiler Log
Started: 20260413_014407
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,CU_ManagerUpdate_ms,CU_Eviction_ms,CU_SyncLoad_ms,CU_SyncWorldgen_ms,CU_SyncMesh_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms,ChunksEvicted,ChunksSyncGen,ChunksSyncLoaded,DesiredCount,ResidentCount
StartGraphics: preset=high display=borderless grid=9 render_distance=4 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,14.098,13.152,0.946,13.003,0.001,0.001,0.000,0.000,0.000,0.000,0.026,0.013,0.007,0.026,0.001,0.002,0.001,0.000,0.072,0,0,0,81,87
1,16.514,16.503,0.011,16.375,0.001,0.001,0.000,0.000,0.000,0.000,0.026,0.012,0.007,0.016,0.001,0.001,0.001,0.002,0.062,0,0,0,81,87
2,17.030,17.017,0.013,16.851,0.001,0.000,0.000,0.000,0.000,0.000,0.017,0.011,0.005,0.033,0.001,0.001,0.001,0.004,0.093,0,0,0,81,87
3,17.654,17.641,0.013,17.506,0.001,0.001,0.000,0.000,0.000,0.000,0.026,0.012,0.007,0.016,0.001,0.002,0.001,0.002,0.067,0,0,0,81,87
4,15.701,15.684,0.017,15.462,0.001,0.001,0.000,0.000,0.000,0.000,0.065,0.035,0.022,0.017,0.001,0.002,0.001,0.002,0.076,0,0,0,81,87
5,16.602,16.580,0.022,16.266,0.002,0.001,0.000,0.000,0.000,0.000,0.059,0.034,0.016,0.037,0.001,0.003,0.002,0.004,0.157,0,0,0,81,87
6,16.792,16.779,0.014,16.642,0.001,0.001,0.000,0.000,0.000,0.000,0.025,0.012,0.008,0.015,0.001,0.002,0.001,0.002,0.070,0,0,0,81,87
7,16.042,16.022,0.020,15.743,0.001,0.001,0.000,0.000,0.000,0.000,0.106,0.034,0.020,0.024,0.001,0.002,0.001,0.004,0.086,0,0,0,81,87
8,16.404,16.391,0.013,16.254,0.001,0.001,0.000,0.000,0.000,0.000,0.025,0.012,0.008,0.016,0.001,0.002,0.001,0.002,0.070,0,0,0,81,87
9,17.250,17.237,0.013,17.099,0.001,0.001,0.000,0.000,0.000,0.000,0.026,0.012,0.007,0.016,0.001,0.001,0.001,0.002,0.070,0,0,0,81,87
10,16.558,16.545,0.013,16.404,0.001,0.001,0.000,0.000,0.000,0.000,0.025,0.012,0.008,0.017,0.001,0.002,0.001,0.002,0.071,0,0,0,81,87
11,16.090,16.075,0.015,15.938,0.001,0.001,0.000,0.000,0.000,0.000,0.024,0.012,0.008,0.017,0.001,0.002,0.001,0.002,0.069,0,0,0,81,87
12,15.793,15.775,0.018,15.588,0.001,0.001,0.000,0.000,0.000,0.000,0.029,0.015,0.008,0.031,0.001,0.003,0.001,0.004,0.095,0,0,0,81,87
13,17.700,17.688,0.011,17.487,0.001,0.001,0.000,0.000,0.000,0.000,0.038,0.026,0.011,0.025,0.001,0.001,0.001,0.003,0.096,0,0,0,81,87
14,15.960,15.949,0.011,15.819,0.001,0.001,0.000,0.000,0.000,0.000,0.022,0.012,0.007,0.017,0.001,0.001,0.001,0.002,0.066,0,0,0,81,87
15,16.378,16.366,0.012,16.158,0.001,0.001,0.000,0.000,0.000,0.000,0.038,0.026,0.011,0.027,0.001,0.001,0.001,0.003,0.099,0,0,0,81,87
