Performance Profiler Log
Started: 20260412_174819
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,2895.694,153.182,2742.512,2.724,0.004,0.287,150.008,0.007,0.074,0.006,0.002,0.004,0.005,0.061
1,143.291,143.129,0.163,2.726,0.004,0.273,140.026,0.006,0.035,0.001,0.002,0.003,0.002,0.051
2,145.628,145.486,0.142,10.202,0.004,0.337,60.694,74.132,0.044,0.002,0.004,0.007,0.005,0.056
3,147.502,147.401,0.101,12.752,0.003,0.289,70.335,63.921,0.045,0.001,0.002,0.003,0.003,0.048
4,184.862,184.727,0.135,4.424,0.004,0.467,106.615,73.052,0.064,0.003,0.002,0.003,0.005,0.089
5,102.949,102.842,0.107,25.245,0.004,0.526,13.460,63.187,0.045,0.001,0.002,0.004,0.003,0.365
6,121.992,121.895,0.097,29.452,0.004,0.409,16.137,75.776,0.046,0.001,0.002,0.003,0.004,0.060
7,89.951,89.842,0.109,5.119,0.005,0.503,13.776,70.300,0.055,0.001,0.002,0.004,0.005,0.073
8,58.100,58.002,0.098,3.069,0.006,0.516,1.662,52.593,0.062,0.001,0.002,0.003,0.006,0.082
9,4.791,4.703,0.089,2.517,0.003,0.496,1.505,0.004,0.101,0.001,0.002,0.003,0.006,0.064
10,12.951,12.894,0.057,10.689,0.002,0.467,1.638,0.004,0.033,0.001,0.001,0.002,0.002,0.056
11,21.494,21.442,0.052,19.555,0.001,0.442,1.347,0.003,0.026,0.001,0.001,0.001,0.002,0.064
12,33.448,33.364,0.084,31.351,0.004,0.595,1.264,0.007,0.046,0.001,0.002,0.002,0.004,0.088
13,33.096,33.024,0.072,31.299,0.003,0.476,1.134,0.004,0.040,0.001,0.001,0.001,0.003,0.062
