Performance Profiler Log
Started: 20260412_174716
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,540548302.783,7.281,540548295.502,3.501,0.004,0.607,2.965,0.009,0.048,0.057,0.002,0.011,0.000,0.078
1,25.791,25.718,0.073,22.660,0.005,0.594,2.192,0.005,0.041,0.052,0.082,0.012,0.005,0.071
2,15.451,15.368,0.083,11.474,0.005,0.571,3.149,0.006,0.041,0.044,0.001,0.012,0.004,0.062
3,16.802,16.727,0.076,13.688,0.002,0.583,2.269,0.004,0.047,0.048,0.001,0.010,0.003,0.072
4,15.990,15.921,0.069,13.632,0.003,0.534,1.602,0.005,0.036,0.038,0.001,0.010,0.003,0.059
5,16.997,16.929,0.068,14.082,0.003,0.538,2.165,0.003,0.032,0.037,0.001,0.010,0.002,0.056
6,30.056,29.966,0.090,4.570,0.003,0.542,24.696,0.005,0.040,0.039,0.001,0.011,0.003,0.057
7,12.232,12.122,0.109,8.998,0.004,0.555,2.284,0.007,0.052,0.042,0.082,0.012,0.003,0.081
8,24.437,24.360,0.077,21.464,0.003,0.541,2.191,0.005,0.038,0.039,0.001,0.011,0.003,0.065
9,16.415,16.334,0.081,13.410,0.003,0.551,2.202,0.006,0.040,0.040,0.001,0.013,0.003,0.065
10,16.401,16.313,0.088,12.444,0.003,0.545,3.163,0.005,0.038,0.038,0.001,0.011,0.003,0.061
11,16.883,16.806,0.077,13.765,0.003,0.561,2.309,0.005,0.041,0.041,0.001,0.011,0.003,0.067
12,18.153,18.083,0.070,14.079,0.002,0.529,3.323,0.003,0.035,0.038,0.001,0.011,0.003,0.059
13,15.906,15.833,0.073,12.743,0.002,0.532,2.401,0.004,0.037,0.038,0.001,0.011,0.003,0.060
