Performance Profiler Log
Started: 20260412_033807
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,489599985.800,227.100,489599758.699,7.394,0.004,0.502,133.092,85.754,0.074,0.056,0.122,0.016,0.000,0.085
1,159.015,158.886,0.129,7.792,0.004,0.475,150.205,0.009,0.071,0.077,0.134,0.013,0.004,0.101
2,126.803,126.662,0.142,7.023,0.005,0.651,118.412,0.011,0.058,0.042,0.092,0.015,0.003,0.350
3,109.438,109.303,0.136,6.339,0.005,0.626,102.012,0.008,0.069,0.036,0.095,0.012,0.005,0.095
4,127.679,127.544,0.136,5.196,0.003,0.461,121.550,0.008,0.072,0.038,0.104,0.013,0.004,0.093
5,113.700,113.586,0.114,7.205,0.005,0.402,105.699,0.007,0.054,0.039,0.083,0.011,0.004,0.076
6,107.086,106.971,0.114,6.041,0.005,0.402,100.227,0.034,0.056,0.036,0.087,0.012,0.003,0.068
7,96.526,96.396,0.130,5.513,0.004,0.405,90.285,0.007,0.057,0.037,0.001,0.014,0.003,0.069
8,95.264,95.142,0.122,5.484,0.004,0.400,88.980,0.009,0.058,0.035,0.086,0.013,0.003,0.069
9,57.232,57.102,0.131,4.293,0.005,0.415,52.111,0.009,0.117,0.038,0.004,0.025,0.008,0.077
10,140.374,140.252,0.122,4.746,0.005,0.444,134.732,0.009,0.087,0.037,0.101,0.012,0.004,0.077
11,83.345,83.246,0.100,6.114,0.004,0.298,76.622,0.006,0.052,0.026,0.061,0.009,0.003,0.051
12,111.408,111.299,0.109,4.715,0.004,0.297,105.876,0.006,0.051,0.031,0.001,0.012,0.003,0.303
13,65.975,65.869,0.106,4.412,0.004,0.285,60.947,0.007,0.054,0.028,0.071,0.008,0.003,0.051
14,49.399,49.267,0.132,3.662,0.004,0.285,45.087,0.006,0.095,0.046,0.003,0.014,0.006,0.059
15,51.025,50.920,0.105,10.768,0.004,0.518,39.350,0.027,0.050,0.035,0.078,0.011,0.003,0.076
16,39.161,39.052,0.109,12.180,0.004,0.317,26.332,0.009,0.085,0.029,0.002,0.019,0.004,0.071
17,51.452,51.346,0.106,25.965,0.003,0.377,24.862,0.007,0.040,0.025,0.001,0.010,0.002,0.054
18,49.167,49.076,0.091,24.953,0.003,0.340,23.593,0.005,0.041,0.024,0.058,0.008,0.002,0.048
19,49.218,49.119,0.099,31.014,0.004,0.280,17.683,0.005,0.041,0.027,0.001,0.010,0.002,0.051
20,103.300,88.139,15.161,6.796,0.003,0.298,28.218,52.641,0.041,0.026,0.058,0.008,0.003,0.047
21,86.127,86.009,0.117,9.609,0.005,0.407,25.309,50.464,0.062,0.037,0.002,0.015,0.003,0.097
22,78.043,77.902,0.141,15.307,0.004,0.431,17.263,44.549,0.097,0.043,0.107,0.011,0.005,0.085
23,70.981,70.880,0.101,21.805,0.004,0.408,0.447,48.046,0.054,0.029,0.002,0.014,0.003,0.068
24,75.365,75.263,0.102,21.469,0.004,0.475,0.480,52.585,0.064,0.030,0.075,0.011,0.003,0.068
25,65.604,65.509,0.096,11.764,0.004,0.417,0.450,52.713,0.051,0.028,0.001,0.013,0.003,0.065
26,48.133,48.003,0.129,7.187,0.005,0.635,0.284,39.576,0.077,0.042,0.097,0.014,0.004,0.083
27,44.837,44.746,0.092,43.857,0.004,0.467,0.201,0.004,0.067,0.039,0.002,0.019,0.004,0.082
28,50.123,50.040,0.083,48.990,0.004,0.473,0.201,0.006,0.052,0.030,0.001,0.010,0.003,0.269
29,51.825,51.739,0.085,50.813,0.003,0.477,0.205,0.006,0.054,0.031,0.072,0.010,0.003,0.066
30,50.916,50.817,0.099,49.675,0.004,0.615,0.289,0.007,0.074,0.038,0.002,0.016,0.004,0.092
31,50.438,50.355,0.083,49.424,0.003,0.483,0.200,0.006,0.055,0.030,0.071,0.009,0.003,0.070
32,46.301,46.198,0.103,45.200,0.003,0.482,0.296,0.018,0.083,0.035,0.001,0.013,0.003,0.063
33,49.632,49.552,0.080,48.703,0.003,0.471,0.203,0.006,0.052,0.031,0.001,0.011,0.003,0.067
34,50.121,50.036,0.085,49.102,0.004,0.476,0.205,0.005,0.067,0.031,0.072,0.009,0.003,0.062
35,50.107,50.022,0.085,49.157,0.003,0.475,0.206,0.006,0.053,0.031,0.001,0.019,0.003,0.067
36,50.527,50.421,0.105,49.157,0.004,0.618,0.265,0.007,0.117,0.064,0.092,0.013,0.003,0.083
37,49.809,49.723,0.086,48.834,0.003,0.505,0.205,0.007,0.055,0.031,0.001,0.012,0.003,0.066
38,174.320,174.196,0.124,17.994,0.004,0.621,93.488,61.886,0.062,0.038,0.001,0.015,0.004,0.083
39,52.977,52.825,0.152,6.445,0.004,0.481,45.384,0.007,0.078,0.038,0.265,0.012,0.004,0.107
40,73.902,73.780,0.123,6.022,0.005,0.483,67.064,0.008,0.069,0.033,0.003,0.015,0.004,0.073
41,115.066,114.926,0.139,7.193,0.004,0.627,106.751,0.008,0.098,0.040,0.096,0.014,0.004,0.092
42,110.374,110.234,0.140,7.239,0.004,0.475,102.233,0.009,0.080,0.030,0.072,0.010,0.003,0.079
43,121.117,120.963,0.154,5.455,0.006,0.389,114.572,0.009,0.074,0.039,0.077,0.008,0.004,0.330
44,110.441,110.280,0.161,6.199,0.007,0.377,103.365,0.008,0.119,0.034,0.081,0.009,0.002,0.078
45,95.143,94.987,0.155,5.976,0.004,0.410,88.290,0.007,0.085,0.039,0.090,0.016,0.004,0.067
46,64.561,64.433,0.127,6.357,0.005,0.452,57.389,0.008,0.076,0.040,0.015,0.014,0.006,0.071
47,82.858,82.728,0.130,6.551,0.005,0.413,75.510,0.007,0.063,0.033,0.068,0.010,0.003,0.065
48,92.744,92.612,0.131,6.291,0.005,0.409,85.660,0.008,0.109,0.035,0.001,0.016,0.003,0.077
49,85.720,85.587,0.133,5.933,0.004,0.403,78.911,0.008,0.066,0.029,0.145,0.011,0.004,0.073
50,66.325,66.197,0.128,4.370,0.004,0.456,61.095,0.007,0.129,0.036,0.002,0.022,0.003,0.072
51,73.633,73.531,0.102,4.344,0.004,0.309,68.674,0.005,0.059,0.023,0.052,0.008,0.006,0.046
52,86.564,86.450,0.115,5.684,0.006,0.405,80.151,0.007,0.072,0.037,0.002,0.016,0.004,0.066
53,105.576,63.654,41.922,5.448,0.004,0.290,57.645,0.006,0.077,0.028,0.066,0.010,0.002,0.077
54,88.498,88.393,0.105,5.117,0.004,0.294,82.788,0.006,0.054,0.024,0.050,0.006,0.004,0.047
55,102.692,102.559,0.133,7.136,0.004,0.411,94.255,0.007,0.065,0.034,0.002,0.015,0.003,0.627
56,76.049,75.929,0.120,5.965,0.004,0.406,69.283,0.009,0.064,0.034,0.081,0.010,0.004,0.070
57,147.090,146.963,0.128,8.200,0.004,0.301,78.590,59.709,0.070,0.025,0.001,0.012,0.004,0.046
58,154.330,154.193,0.137,10.110,0.004,0.468,87.996,55.367,0.092,0.027,0.028,0.007,0.003,0.089
59,155.631,155.496,0.135,12.067,0.005,0.413,89.597,53.243,0.054,0.021,0.017,0.007,0.003,0.070
60,99.625,99.501,0.124,32.390,0.006,0.505,0.506,65.867,0.093,0.025,0.019,0.008,0.006,0.077
