Performance Profiler Log
Started: 20260412_012909
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
50,33.886,33.810,0.076,32.750,0.003,0.716,0.177,0.005,0.035,0.014,0.041,0.007,0.003,0.060
51,33.437,33.347,0.090,32.023,0.004,0.720,0.182,0.006,0.043,0.018,0.024,0.012,0.004,0.310
52,33.289,33.213,0.076,32.188,0.003,0.717,0.176,0.006,0.032,0.014,0.002,0.011,0.003,0.060
53,33.468,33.400,0.068,32.371,0.003,0.706,0.172,0.003,0.029,0.012,0.039,0.005,0.003,0.056
54,40.576,40.485,0.091,6.393,0.003,0.707,33.263,0.005,0.031,0.013,0.002,0.009,0.003,0.056
55,28.561,28.474,0.087,3.441,0.003,0.682,24.228,0.005,0.029,0.013,0.002,0.011,0.003,0.057
56,45.641,45.573,0.068,44.586,0.003,0.688,0.172,0.006,0.031,0.014,0.002,0.009,0.003,0.059
57,25.446,25.346,0.100,12.979,0.004,0.742,11.401,0.009,0.046,0.018,0.052,0.010,0.004,0.080
58,26.641,26.565,0.076,25.586,0.003,0.674,0.166,0.005,0.037,0.015,0.002,0.009,0.003,0.064
59,33.187,33.122,0.065,32.150,0.002,0.682,0.173,0.004,0.026,0.012,0.002,0.008,0.003,0.060
60,47.514,47.433,0.082,5.000,0.003,0.680,41.637,0.004,0.028,0.012,0.001,0.008,0.002,0.057
61,21.793,21.696,0.097,20.268,0.004,0.940,0.236,0.010,0.047,0.019,0.052,0.008,0.005,0.107
62,30.284,30.206,0.078,29.187,0.003,0.709,0.177,0.005,0.033,0.014,0.002,0.011,0.003,0.061
63,33.590,33.532,0.058,32.557,0.003,0.693,0.174,0.004,0.026,0.012,0.001,0.007,0.002,0.053
64,32.953,32.904,0.049,31.964,0.001,0.671,0.172,0.003,0.022,0.010,0.001,0.006,0.002,0.052
65,32.929,32.868,0.061,30.745,0.002,1.742,0.240,0.011,0.022,0.010,0.038,0.004,0.002,0.052
66,33.165,33.123,0.042,32.160,0.001,0.698,0.175,0.003,0.018,0.009,0.001,0.004,0.002,0.051
67,33.727,33.685,0.042,32.738,0.001,0.688,0.174,0.002,0.017,0.008,0.001,0.005,0.002,0.048
68,32.880,32.828,0.052,32.208,0.001,0.427,0.109,0.002,0.013,0.007,0.024,0.003,0.001,0.033
69,33.129,33.086,0.044,32.148,0.001,0.678,0.173,0.002,0.018,0.009,0.001,0.004,0.002,0.049
70,34.439,34.397,0.042,33.461,0.001,0.678,0.171,0.002,0.018,0.009,0.001,0.005,0.002,0.048
71,32.601,32.543,0.059,22.289,0.003,0.687,9.462,0.004,0.025,0.011,0.001,0.006,0.002,0.052
72,33.035,32.972,0.062,31.994,0.003,0.670,0.169,0.003,0.025,0.011,0.038,0.004,0.003,0.052
73,32.990,32.934,0.056,31.950,0.002,0.710,0.173,0.003,0.025,0.010,0.001,0.006,0.002,0.053
74,33.885,33.834,0.051,32.871,0.001,0.695,0.174,0.003,0.021,0.010,0.001,0.005,0.002,0.050
75,33.682,33.631,0.051,32.652,0.002,0.675,0.170,0.003,0.022,0.011,0.039,0.005,0.002,0.051
76,39.406,39.314,0.093,7.675,0.003,0.714,30.796,0.005,0.034,0.014,0.002,0.009,0.003,0.059
77,42.723,39.775,2.948,6.431,0.003,0.637,32.573,0.007,0.034,0.013,0.002,0.011,0.003,0.060
78,57.539,57.449,0.090,23.841,0.004,0.612,32.830,0.007,0.036,0.016,0.038,0.007,0.003,0.055
79,42.870,42.761,0.108,4.016,0.004,0.951,37.620,0.008,0.043,0.018,0.003,0.014,0.004,0.082
80,32.449,32.339,0.110,4.863,0.003,0.681,26.348,0.006,0.068,0.022,0.077,0.014,0.005,0.250
81,22.939,22.845,0.094,21.485,0.004,0.943,0.241,0.008,0.045,0.018,0.003,0.013,0.004,0.083
82,29.326,29.251,0.075,28.201,0.003,0.728,0.177,0.006,0.035,0.015,0.002,0.011,0.003,0.071
83,33.112,33.056,0.056,32.089,0.002,0.689,0.174,0.003,0.023,0.011,0.001,0.007,0.002,0.054
84,33.261,33.199,0.062,32.167,0.003,0.698,0.176,0.004,0.028,0.011,0.042,0.005,0.003,0.062
85,33.437,33.374,0.063,32.393,0.002,0.692,0.177,0.004,0.026,0.012,0.001,0.006,0.002,0.059
86,44.347,44.262,0.085,4.919,0.003,0.685,38.545,0.004,0.029,0.012,0.002,0.005,0.003,0.055
87,23.631,23.527,0.104,22.098,0.004,0.943,0.252,0.010,0.046,0.018,0.060,0.010,0.004,0.082
88,32.522,32.446,0.076,31.393,0.003,0.729,0.178,0.006,0.035,0.014,0.002,0.011,0.003,0.073
89,33.659,33.592,0.067,32.588,0.002,0.694,0.186,0.005,0.029,0.013,0.001,0.009,0.003,0.061
90,32.284,32.212,0.071,31.192,0.003,0.699,0.179,0.004,0.042,0.014,0.002,0.010,0.003,0.064
91,33.693,33.645,0.048,32.614,0.002,0.702,0.191,0.003,0.022,0.010,0.041,0.005,0.002,0.054
92,33.184,33.127,0.057,32.145,0.002,0.696,0.175,0.003,0.024,0.011,0.001,0.007,0.004,0.058
93,32.919,32.860,0.059,31.916,0.002,0.673,0.171,0.003,0.023,0.011,0.001,0.006,0.003,0.052
94,34.247,34.178,0.069,12.098,0.002,0.698,21.233,0.004,0.027,0.011,0.043,0.004,0.002,0.055
95,35.842,35.766,0.076,34.739,0.003,0.715,0.176,0.005,0.034,0.014,0.002,0.011,0.003,0.064
96,42.214,42.058,0.156,4.839,0.004,0.891,35.992,0.008,0.044,0.154,0.005,0.029,0.006,0.086
97,23.756,23.661,0.094,22.235,0.004,0.951,0.249,0.009,0.043,0.018,0.057,0.009,0.004,0.081
98,30.582,30.507,0.075,29.470,0.003,0.721,0.177,0.006,0.035,0.014,0.002,0.011,0.003,0.066
99,33.102,33.058,0.044,32.125,0.001,0.672,0.175,0.002,0.018,0.009,0.001,0.005,0.002,0.049
100,33.850,33.804,0.046,32.877,0.001,0.668,0.171,0.002,0.018,0.009,0.001,0.004,0.002,0.050
