Performance Profiler Log
Started: 20260413_011907
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,CU_ManagerUpdate_ms,CU_Eviction_ms,CU_SyncLoad_ms,CU_SyncWorldgen_ms,CU_SyncMesh_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms,ChunksEvicted,ChunksSyncGen,ChunksSyncLoaded,DesiredCount,ResidentCount
StartGraphics: preset=high display=borderless grid=9 render_distance=4 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
0,567661726.006,20.910,567661705.097,0.882,0.002,0.001,0.000,0.000,0.000,0.000,0.050,19.860,0.006,0.026,0.033,0.002,0.003,0.000,0.046,0,0,0,81,45
1,11.079,10.967,0.112,1.269,0.002,0.001,0.000,0.000,0.000,0.000,0.062,9.425,0.008,0.047,0.070,0.003,0.007,0.005,0.069,0,0,0,81,46
2,21.334,21.249,0.085,0.899,0.001,0.001,0.000,0.000,0.000,0.000,0.053,20.200,0.005,0.021,0.021,0.001,0.002,0.003,0.040,0,0,0,81,47
3,11.069,10.955,0.114,1.311,0.002,0.002,0.000,0.000,0.000,0.000,0.056,9.457,0.004,0.027,0.032,0.004,0.003,0.004,0.054,0,0,0,81,48
4,577.564,577.030,0.534,1.096,0.002,0.002,0.000,0.000,0.000,0.000,0.083,20.849,0.007,0.019,554.647,0.002,0.003,0.002,0.318,0,0,0,81,49
5,20.850,20.760,0.090,0.814,0.001,0.001,0.000,0.000,0.000,0.000,0.044,19.792,0.004,0.020,0.031,0.002,0.002,0.003,0.047,0,0,0,81,50
6,19.270,19.136,0.134,0.747,0.003,0.003,0.000,0.000,0.000,0.000,0.053,18.191,0.005,0.024,0.039,0.004,0.002,0.008,0.058,0,0,0,81,51
7,20.918,20.796,0.122,0.812,0.002,0.001,0.000,0.000,0.000,0.000,0.045,19.817,0.004,0.020,0.035,0.003,0.001,0.002,0.053,0,0,0,81,52
8,25.674,25.568,0.106,0.722,0.001,0.001,0.000,0.000,0.000,0.000,0.050,24.665,0.004,0.028,0.036,0.003,0.002,0.004,0.053,0,0,0,81,53
9,20.917,20.840,0.077,1.029,0.001,0.001,0.000,0.000,0.000,0.000,0.038,19.675,0.003,0.019,0.028,0.001,0.001,0.002,0.040,0,0,0,81,54
10,26.884,26.765,0.119,1.344,0.003,0.003,0.000,0.000,0.000,0.000,0.061,25.216,0.008,0.029,0.035,0.004,0.003,0.004,0.054,0,0,0,81,55
11,23.054,22.927,0.127,1.533,0.004,0.003,0.000,0.000,0.000,0.000,0.065,21.167,0.015,0.041,0.031,0.003,0.006,0.004,0.055,0,0,0,81,56
12,21.074,20.960,0.114,1.564,0.001,0.001,0.000,0.000,0.000,0.000,0.043,19.241,0.005,0.024,0.030,0.002,0.001,0.003,0.043,0,0,0,81,57
13,21.949,21.808,0.141,1.663,0.004,0.004,0.000,0.000,0.000,0.000,0.092,19.853,0.011,0.036,0.045,0.005,0.007,0.004,0.085,0,0,0,81,58
